Marko	Марко	1,nomo
semajno	тиждень	6,radiko
sub	під	6,prepozicio
teo	чай	6,radiko
mateno	ранок	6,radiko
vespero	вечір	6,radiko
deziri	бажати	6,radiko
trankvila	спокійний	6,radiko
farti	матися, почувати себе, поживати	6,radiko
eg	збільшувальний суфікс	6,sufikso
Karlo	Карл	6,nomo
hm	гм	6,interjekcio
dormi	спати	7,radiko
suno	сонце	7,radiko
subita	раптовий	7,radiko
ek	префікс, що позначає миттєвість або початок дії	7,prefikso
salti	стрибати	7,radiko
ĉiam	завжди	7,tabelvorto
frua	рано	7,radiko
hodiaŭ	сьогодні	7,adverbo
meti	класти	7,radiko
aĵ	предмет з певного матеріалу, об’єкт діяльності	7,sufikso
kuri	бігти	7,radiko
laŭ	за, згідно з..., відповідно до...	7,prepozicio
homo	людина	7,radiko
kia	який	7,tabelvorto
saĝa	розумний	7,radiko
knabo	хлопець	7,radiko
baldaŭ	незабаром, невдовзі, скоро, найближчим часом	7,adverbo
it	пасивний дієприкметник і дієприслівник минулого часу	7,participo
nek	ні... ні	7,konjunkcio
pensi	думати	7,radiko
diablo	диявол	7,radiko
memori	пам'ятати	7,radiko
dimanĉo	неділя	7,radiko
raporti	рапортувати	8,radiko
noto	замітка, нотатка, запис	8,radiko
aĉ	низька якість, нікчемність, непридатність, презирство, зневага	8,sufikso
kapo	голова	8,radiko
kiom	скільки	8,tabelvorto
da	прийменник, що позначає міру, кількість	8,prepozicio
ĉe	у, в, при, за, біля, коло, на	8,prepozicio
ludi	грати	8,radiko
mem	сам	8,partikulo
tiom	стільки	8,tabelvorto
kvankam	хоч	8,konjunkcio
tiam	тоді	8,tabelvorto
aŭdi	чути	8,radiko
vorto	слово	8,radiko
tuj	одразу, негайно	8,adverbo
respondi	відповідати	8,radiko
kara	дорогий, любий, милий	8,radiko
problemo	проблема	8,radiko
pri	про	8,prepozicio
muziko	музика	8,radiko
ridi	сміятись	8,radiko
tamen	однак, проте	8,adverbo
Petro	Петро	9,nomo
Maria	Марія	9,nomo
vojaĝi	подорожувати, мандрувати, їздити	9,radiko
lando	країна	9,radiko
libera	вільний	9,radiko
tempo	час	9,radiko
