knabo	dječak	7,radiko
baldaŭ	uskoro	7,adverbo
it	pasivni particip prošlog vremena	7,participo
nek	niti, ni	7,konjunkcio
pensi	misao, misliti	7,radiko
diablo	vrag	7,radiko
memori	sjećati se	7,radiko
dimanĉo	nedjelja	7,radiko
raporti	izvijestiti	8,radiko
noto	bilješka, ocjena	8,radiko
aĉ	gadno, nepoželjno svojstvo	8,sufikso
kapo	glava	8,radiko
kiom	koliko	8,tabelvorto
da	od (partitivni genitiv)	8,prepozicio
ĉe	kod	8,prepozicio
ludi	igrati	8,radiko
mem	sam, osobno	8,partikulo
tiom	toliko, onoliko	8,tabelvorto
kvankam	iako, premda	8,konjunkcio
tiam	tada, onda	8,tabelvorto
aŭdi	čuti	8,radiko
vorto	riječ	8,radiko
tuj	odmah	8,adverbo
respondi	odgovoriti	8,radiko
kara	drag	8,radiko
problemo	problem	8,radiko
pri	o	8,prepozicio
muziko	glazba	8,radiko
ridi	smijati se	8,radiko
tamen	ipak	8,adverbo
Petro	Petar	9,nomo
Maria	Marija	9,nomo
vojaĝi	putovati	9,radiko
lando	zemlja	9,radiko
libera	slobodan	9,radiko
tempo	vrijeme	9,radiko
decidi	odlučiti	9,radiko
Italio	Italija	9,radiko
urbo	grad	9,radiko
feliĉa	sretan	9,radiko
kie	gdje	9,tabelvorto
forgesi	zaboraviti	9,radiko
esperi	nadati se	9,radiko
us	kondicional (glagol)	9,finaĵo
komenci	početi	9,radiko
jam	već	9,adverbo
vagono	vagon	9,radiko
ar	skupina, mnoštvo	9,sufikso
nenio	ništa	9,tabelvorto
sekreto	tajna	9,radiko
onklo	stric, ujak	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	pun	9,radiko
um	neodređeno značenje	9,sufikso
sia	(refleksivna zamjenica)	9,radiko
uzi	koristiti	9,radiko
domo	kuća	9,radiko
ad	trajanje	9,sufikso
atendi	čekati	9,radiko
do	dakle	9,adverbo
kial	zašto	9,tabelvorto
neniam	nikad	9,tabelvorto
kiel	kako	10,tabelvorto
pasi	proći	10,radiko
naski	roditi	10,radiko
kelka	neki, nekoliko	10,radiko
familio	obitelj	10,radiko
an	član grupe	10,sufikso
iom	ikoliko, nekoliko	10,tabelvorto
trovi	pronaći	10,radiko
almenaŭ	barem	10,adverbo
ordo	red	10,radiko
io	išta, nešto	10,tabelvorto
manki	nedostajati	10,radiko
lakto	mlijeko	10,radiko
necesa	trebati	10,radiko
anstataŭ	umjesto	10,prepozicio
intereso	zanimati	10,radiko
ekskurso	izlet	10,radiko
klubo	klub	10,radiko
ĵeti	baciti	10,radiko
ia	nekakav, ikakav	10,tabelvorto
uj	posuda, stablo, država	10,sufikso
ĝusta	pravi	10,radiko
for	udaljavanje (ne samo doslovno)	10,prefikso
inter	između, među	10,prepozicio
sama	isto	10,radiko
fojo	puta (višestrukost), -struk	10,radiko
rajti	smjeti	10,radiko
proponi	predložiti	10,radiko
du	dva	10,cifero
parto	dio	10,radiko
sukceso	uspjeh	10,radiko
iu	itko, netko	10,tabelvorto
ideo	ideja	10,novaj
tro	previše	10,adverbo
ec	apstraktno	10,sufikso
reala	stvaran	10,radiko
silento	tih	10,radiko
daŭri	trajati	10,radiko
nu	no	10,interjekcio
minuto	minuta	10,radiko
telefono	telefon	10,radiko
viziti	posjetiti	10,radiko
dolĉa	sladak	10,radiko
atenti	paziti	10,radiko
dika	debeo	10,radiko
ŝanĝi	mijenjati	10,radiko
opinii	smatrati	10,radiko
sen	bez	10,prepozicio
sola	sam	10,radiko
Veneci	Venecija	11,radiko
Sankt-Mark	Sveti Marko	11,nomo
placo	trg	11,radiko
milito	rat	11,radiko
maro	more	11,radiko
ŝipo	brod	11,radiko
gondolo	gondola	11,radiko
movi	pomaknuti	11,radiko
mezo	sredina	11,radiko
proksima	blizu	11,radiko
granda	velik	11,radiko
oni	(neodređena osobna zamjenica)	11,pronomo
facila	lagan	11,radiko
lumo	svjetlo	11,radiko
flanko	strana	11,radiko
Stefan	Stefan	11,nomo
krii	vikati	11,radiko
turko	turski	11,radiko
renkonti	susresti	11,radiko
sekvi	slijediti	11,radiko
Pietro	Pietro	11,nomo
koni	poznavati	11,radiko
akvo	voda	11,radiko
tiel	tako, onako	11,tabelvorto
Ĝorĝo	Đorđe	11,nomo
preni	uzeti	11,radiko
estro	šef, glavni	11,sufikso
preskaŭ	gotovo, skoro	11,adverbo
morti	umrijeti	11,radiko
grava	važan	11,radiko
Ĝino	Đino	11,nomo
halti	zaustaviti	11,radiko
apud	pored, pokraj	11,prepozicio
dek	deset	11,cifero
jaro	godina	11,radiko
koloro	boja	11,radiko
Jakopo	Jakob	11,nomo
tial	zbog toga, zato	11,tabelvorto
timi	bojati se	11,radiko
sendi	poslati	11,radiko
doĝo	dužd	11,radiko
bezoni	trebati	11,radiko
pagi	platiti	11,radiko
er	komadić	11,sufikso
afero	stvar	11,radiko
se	ako	11,konjunkcio
pano	kruh	11,radiko
Don Kamilo	Don Kamilo	11,nomo
ĝis	do	11,prepozicio
S-ro	Gospodin - G.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	težak	12,radiko
larĝa	širok	12,radiko
korpo	tijelo	12,radiko
aspekto	izgledati	12,radiko
rolo	uloga	12,radiko
fakto	činjenica	12,radiko
respekti	uvažavanje	12,radiko
kontenta	zadovoljan	12,radiko
ofte	često	12,radiko
utila	koristan	12,radiko
prezenti	predstaviti	12,radiko
ĝeni	smetati	12,radiko
nokto	noć	12,radiko
arbo	stablo	12,radiko
ĉefo	glavni, šef	12,radiko
vojo	put	12,radiko
ekster	izvan	12,prepozicio
sovaĝa	divlji	12,radiko
bruo	buka	12,radiko
krom	osim	12,prepozicio
tuŝi	dirati	12,radiko
naturo	priroda	12,radiko
ĝenerali	opći	12,radiko
seki	suh	12,radiko
paŝi	korak	12,radiko
vivi	živjeti	12,radiko
dolori	boljeti	12,radiko
agrabla	ugodan	12,radiko
ju	što	12,partikulo
kastelo	dvorac	12,radiko
des	to	12,partikulo
Adriano	Adrian	12,nomo
viro	muškarac	12,radiko
kapabla	sposoban	12,radiko
industrio	industrija	12,radiko
polico	policija	12,radiko
persono	osoba	12,radiko
simila	sličan	12,radiko
lasta	posljednji, zadnji	12,radiko
laŭta	glasan	12,radiko
orelo	uho	12,radiko
momento	trenutak	12,radiko
ambaŭ	oba	12,adverbo
direkti	smjer	12,radiko
zorgi	brinuti	12,radiko
situacio	situacija	12,radiko
branĉo	grana	12,radiko
rekta	direktan	12,radiko
besto	životinja	12,radiko
promeni	šetati	12,radiko
kavo	šupljina, rupa	12,radiko
odoro	miris	12,radiko
preta	spreman	12,radiko
ajn	bilo (koji), (koji) god	12,partikulo
efektiva	zapravo	12,radiko
miri	čuditi se	12,radiko
koro	srce	12,radiko
ŝajni	činiti se	12,radiko
supri	gornji, gore	12,radiko
buŝo	usta	12,radiko
provi	pokušati	12,radiko
kapti	uloviti, uhvatiti	12,radiko
lampo	svjetiljka	12,radiko
paco	mir	12,radiko
formo	oblik	12,radiko
teni	držati	12,radiko
sono	zvuk	12,radiko
aŭtoritato	autoritet	12,radiko
nuuuu	no	12,interjekcio
eee	eee	12,interjekcio
fuŝi	pokvariti, upropastiti	12,radiko
klara	jasan	12,radiko
eĉ	čak	12,adverbo
tono	ton	12,radiko
ha	aha	12,interjekcio
bieno	imanje, posjed	12,radiko
grafo	grof	12,radiko
monto	planina	12,radiko
kalva	ćelav	12,radiko
inviti	pozvati	12,radiko
peti	moliti	12,radiko
teroro	teror	12,radiko
kontroli	provjeriti	12,radiko
ĉirkaŭ	okolo, oko	12,prepozicio
akcepti	prihvatiti, primiti	12,radiko
perdi	izgubiti	12,radiko
