Marko	Marko	1,nomo
meti	setzen, stellen, legen	7,radiko
aĵ	konkrete Sache	7,sufikso
kuri	laufen	7,radiko
laŭ	gemäß	7,prepozicio
homo	Mensch	7,radiko
kia	was für ein	7,tabelvorto
saĝa	klug, weise	7,radiko
knabo	Knabe	7,radiko
baldaŭ	bald	7,adverbo
it	Passiv-Partizip / Verlaufsform, Vergangenheit	7,participo
nek	weder (… noch)	7,konjunkcio
pensi	denken	7,radiko
diablo	Teufel	7,radiko
memori	sich erinnern	7,radiko
dimanĉo	Sonntag	7,radiko
raporti	berichten	8,radiko
noto	Note, Notiz	8,radiko
aĉ	äußere Verschlechterung	8,sufikso
kapo	Kopf	8,radiko
kiom	wieviel	8,tabelvorto
da	von (Menge)	8,prepozicio
ĉe	bei	8,prepozicio
ludi	spielen	8,radiko
mem	selbst	8,partikulo
tiom	soviel	8,tabelvorto
kvankam	obwohl	8,konjunkcio
tiam	dann	8,tabelvorto
aŭdi	hören	8,radiko
vorto	Wort	8,radiko
tuj	sofort	8,adverbo
respondi	antworten	8,radiko
kara	lieb, teuer, wert	8,radiko
problemo	Problem	8,radiko
pri	über	8,prepozicio
muziko	Musik	8,radiko
ridi	lachen	8,radiko
tamen	dennoch	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	reisen	9,radiko
lando	Land	9,radiko
libera	frei	9,radiko
tempo	Zeit	9,radiko
decidi	entscheiden	9,radiko
italio	Italien	9,radiko
urbo	Stadt	9,radiko
feliĉa	glücklich	9,radiko
kie	wo	9,tabelvorto
forgesi	vergessen	9,radiko
esperi	hoffen	9,radiko
us	Endung für Verb im Konditional	9,finaĵo
komenci	anfangen	9,radiko
jam	schon	9,adverbo
vagono	Waggon	9,radiko
ar	Sammelbegriff	9,sufikso
nenio	nichts	9,tabelvorto
sekreto	Geheimnis	9,radiko
onklo	Onkel	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	voll	9,radiko
um	ohne bestimmte Bedeutung (Joker)	9,sufikso
sia	sein/ihr	9,radiko
uzi	gebrauchen	9,radiko
domo	Haus	9,radiko
ad	Dauer	9,sufikso
atendi	warten	9,radiko
do	also	9,adverbo
kial	warum	9,tabelvorto
neniam	nie	9,tabelvorto
kiel	wie	10,tabelvorto
pasi	vorbei gehen	10,radiko
naski	gebären	10,radiko
kelka	manch, einige	10,radiko
familio	Familie	10,radiko
an	Mitglied, Anhänger	10,sufikso
iom	etwas, ein wenig	10,tabelvorto
trovi	finden	10,radiko
almenaŭ	wenigstens	10,adverbo
ordo	Ordnung	10,radiko
io	irgendwas	10,tabelvorto
manki	fehlen	10,radiko
lakto	Milch	10,radiko
necesa	notwendig	10,radiko
anstataŭ	anstatt	10,prepozicio
intereso	Interesse	10,radiko
ekskurso	Ausflug	10,radiko
klubo	Club	10,radiko
ĵeti	werfen	10,radiko
ia	irgendein	10,tabelvorto
uj	Behälter, Land, Baum	10,sufikso
ĝusta	richtig	10,radiko
for	fort-, weg-, ab-	10,prefikso
inter	zwischen	10,prepozicio
sama	gleich	10,radiko
fojo	Mal	10,radiko
rajti	das Recht haben, dürfen	10,radiko
proponi	vorschlagen	10,radiko
du	zwei	10,cifero
parto	Teil	10,radiko
sukceso	Erfolg haben	10,radiko
iu	jemand	10,tabelvorto
ideo	Idee	10,novaj
tro	allzu	10,adverbo
ec	abstrakter Begriff (-keit)	10,sufikso
reala	wirklich	10,radiko
silento	Schweigen	10,radiko
daŭri	dauern	10,radiko
nu	na	10,interjekcio
minuto	Minute	10,radiko
telefono	Telefon	10,radiko
viziti	besuchen	10,radiko
dolĉa	süß	10,radiko
atenti	acht geben	10,radiko
dika	dick	10,radiko
ŝanĝi	wechseln	10,radiko
opinii	meinen	10,radiko
sen	ohne	10,prepozicio
sola	allein	10,radiko
Veneci	Venedig	11,radiko
Sankt-Mark	Sankt-Markus	11,nomo
placo	Platz	11,radiko
milito	Krieg	11,radiko
maro	Meer	11,radiko
ŝipo	Schiff	11,radiko
gondolo	Gondel	11,radiko
movi	bewegen	11,radiko
mezo	Mitte	11,radiko
proksima	nahe	11,radiko
granda	groß	11,radiko
oni	man	11,pronomo
facila	leicht	11,radiko
lumo	Licht	11,radiko
flanko	Seite	11,radiko
Stefan	Stephen	11,nomo
krii	schreien	11,radiko
turko	Türke	11,radiko
renkonti	begegnen	11,radiko
sekvi	folgen	11,radiko
Pietro	Pietro	11,nomo
koni	kennen	11,radiko
akvo	Wasser	11,radiko
tiel	so	11,tabelvorto
Ĝorĝo	George	11,nomo
preni	nehmen	11,radiko
estro	Leiter, Chef, Vorstand	11,sufikso
preskaŭ	fast	11,adverbo
morti	sterben	11,radiko
grava	wichtig	11,radiko
Ĝino	Ĝino	11,nomo
halti	anhalten	11,radiko
apud	neben	11,prepozicio
dek	zehn	11,cifero
jaro	Jahr	11,radiko
koloro	Farbe	11,radiko
Jakopo	Jacob	11,nomo
tial	deshalb	11,tabelvorto
timi	fürchten	11,radiko
sendi	schicken	11,radiko
doĝo	Doge (Oberhaupt)	11,radiko
bezoni	brauchen, benötigen	11,radiko
pagi	zahlen	11,radiko
er	Fragment, Stück von	11,sufikso
afero	Angelegenheit, Sache	11,radiko
se	wenn	11,konjunkcio
pano	Brot	11,radiko
Don Kamilo	Don Camillus	11,nomo
ĝis	bis	11,prepozicio
S-ro	Sinjoro – Herr	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	schwer	12,radiko
larĝa	breit	12,radiko
korpo	Körper	12,radiko
aspekto	aussehen	12,radiko
rolo	Rolle	12,radiko
fakto	tatsächlich	12,radiko
respekti	achten	12,radiko
kontenta	zufrieden	12,radiko
ofte	oft	12,radiko
utila	nützlich	12,radiko
prezenti	vorstellen	12,radiko
ĝeni	stören, belästigen	12,radiko
nokto	Nacht	12,radiko
arbo	Baum	12,radiko
ĉefo	Chef	12,radiko
vojo	Weg	12,radiko
ekster	außerhalb	12,prepozicio
sovaĝa	wild	12,radiko
bruo	Lärm	12,radiko
krom	außer	12,prepozicio
tuŝi	berühren	12,radiko
naturo	Natur	12,radiko
ĝenerali	allgemein	12,radiko
seki	trocken	12,radiko
paŝi	schreiten	12,radiko
vivi	leben	12,radiko
dolori	Schmerz	12,radiko
agrabla	angenehm	12,radiko
ju	je (… desto)	12,partikulo
kastelo	Schloss, Kastell	12,radiko
des	(je …) desto	12,partikulo
Adriano	Adriano	12,nomo
viro	Mann	12,radiko
kapabla	fähig	12,radiko
industrio	Industrie	12,radiko
polico	Polizei	12,radiko
persono	Person	12,radiko
simila	ähnlich	12,radiko
lasta	letzter	12,radiko
laŭta	laut	12,radiko
orelo	Ohr	12,radiko
momento	Moment	12,radiko
ambaŭ	beide	12,adverbo
direkti	Richtung	12,radiko
zorgi	sorgen	12,radiko
situacio	Lage	12,radiko
branĉo	Zweig, Ast	12,radiko
rekta	direkt	12,radiko
besto	Tier	12,radiko
promeni	spazierengehen	12,radiko
kavo	Höhle, Grube	12,radiko
odoro	Duft	12,radiko
preta	bereit	12,radiko
ajn	überhaupt, auch immer, auch nur	12,partikulo
efektiva	wirklich, tatsächlich	12,radiko
miri	sich wundern	12,radiko
koro	Herz	12,radiko
ŝajni	scheinen	12,radiko
supri	oben	12,radiko
buŝo	Mund	12,radiko
provi	versuchen	12,radiko
kapti	fangen	12,radiko
lampo	Lampe	12,radiko
paco	Friede	12,radiko
formo	Form	12,radiko
teni	halten	12,radiko
sono	Klang	12,radiko
aŭtoritato	Autorität	12,radiko
nuuuu	nuuuu	12,interjekcio
eee	eee	12,interjekcio
fuŝi	pfuschen	12,radiko
klara	klar	12,radiko
eĉ	sogar, selbst	12,adverbo
tono	Ton	12,radiko
ha	ha	12,interjekcio
bieno	Landgut, Bauerngut	12,radiko
grafo	Graf	12,radiko
monto	Berg	12,radiko
kalva	kahl	12,radiko
inviti	einladen	12,radiko
peti	bitten	12,radiko
teroro	Terror	12,radiko
kontroli	prüfen	12,radiko
ĉirkaŭ	um, herum	12,prepozicio
akcepti	akzeptieren	12,radiko
perdi	verlieren	12,radiko
