laŭ	enligt, längs	7,prepozicio
homo	männsika	7,radiko
kia	hurdan	7,tabelvorto
saĝa	vis, klok	7,radiko
knabo	pojke	7,radiko
baldaŭ	snart	7,adverbo
it	passiv avslutad handling	7,participo
nek	varken (… eller)	7,konjunkcio
pensi	tänka, tycka	7,radiko
diablo	djävul	7,radiko
memori	minnas	7,radiko
dimanĉo	söndag	7,radiko
raporti	rapportera	8,radiko
noto	anteckning, betyg	8,radiko
aĉ	usel, dålig kvalitet	8,sufikso
kapo	huvud	8,radiko
kiom	hur mycket, hur många	8,tabelvorto
da	utav, med (mängd)	8,prepozicio
ĉe	hos, intill	8,prepozicio
ludi	spela, leka	8,radiko
mem	själv	8,partikulo
tiom	så mycket, så många	8,tabelvorto
kvankam	fastän	8,konjunkcio
tiam	då	8,tabelvorto
aŭdi	höra	8,radiko
vorto	ord	8,radiko
tuj	genast, omedelbart	8,adverbo
respondi	svara	8,radiko
kara	kär, älskad	8,radiko
problemo	problem	8,radiko
pri	om, angående	8,prepozicio
muziko	musik	8,radiko
ridi	skratta	8,radiko
tamen	ändå	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	resa	9,radiko
lando	land	9,radiko
libera	fri, ledig	9,radiko
tempo	tid	9,radiko
decidi	bestämma	9,radiko
italio	Italien	9,radiko
urbo	stad	9,radiko
feliĉa	lycklig	9,radiko
kie	var	9,tabelvorto
forgesi	glömma	9,radiko
esperi	hoppas	9,radiko
us	Verb i konditionalis	9,finaĵo
komenci	börja, påbörja	9,radiko
jam	redan	9,adverbo
vagono	järnvägsvagn	9,radiko
ar	samling	9,sufikso
nenio	ingenting	9,tabelvorto
sekreto	hemlighet	9,radiko
onklo	farbror, morbror	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	full, fullständig	9,radiko
um	(obestämt suffix)	9,sufikso
sia	sig	9,radiko
uzi	använda	9,radiko
domo	hus	9,radiko
ad	(upprepad, varaktig) handling	9,sufikso
atendi	vänta	9,radiko
do	då, alltså	9,adverbo
kial	varför	9,tabelvorto
neniam	aldrig	9,tabelvorto
kiel	hur	10,tabelvorto
pasi	passera	10,radiko
naski	föda (barn)	10,radiko
kelka	några	10,radiko
familio	familj	10,radiko
an	medlem, anhängare, invånare	10,sufikso
iom	något, lite, en smula	10,tabelvorto
trovi	hitta	10,radiko
almenaŭ	åtmistone	10,adverbo
ordo	ordning	10,radiko
io	någonting	10,tabelvorto
manki	saknas, fattas	10,radiko
lakto	mjölk	10,radiko
necesa	nödvändig	10,radiko
anstataŭ	istället för	10,prepozicio
intereso	intressera	10,radiko
ekskurso	utflykt	10,radiko
klubo	klubb	10,radiko
ĵeti	kasta	10,radiko
ia	någon slags	10,tabelvorto
uj	behållare, träd/buske, land	10,sufikso
ĝusta	rätt, riktig	10,radiko
for	bort, iväg	10,prefikso
inter	mellan, bland	10,prepozicio
sama	samma, likadan	10,radiko
fojo	gång, tillfälle	10,radiko
rajti	få, ha rätt till	10,radiko
proponi	föreslå	10,radiko
du	två	10,cifero
parto	del	10,radiko
sukceso	lyckas	10,radiko
iu	någon, något	10,tabelvorto
ideo	idé	10,novaj
tro	allför (mycket)	10,adverbo
ec	egenskap	10,sufikso
reala	verklig	10,radiko
silento	tyst	10,radiko
daŭri	fortgå, pågå, vara	10,radiko
nu	nå	10,interjekcio
minuto	minut	10,radiko
telefono	telefon	10,radiko
viziti	besöka	10,radiko
dolĉa	söt	10,radiko
atenti	akta, uppmärksamma, se upp	10,radiko
dika	tjock	10,radiko
ŝanĝi	ändra, byta	10,radiko
opinii	åsikt	10,radiko
sen	utan	10,prepozicio
sola	ensam	10,radiko
Veneci	Venedig	11,radiko
Sankt-Mark	Helige Mark	11,nomo
placo	torg	11,radiko
milito	krig	11,radiko
maro	hav	11,radiko
ŝipo	båt, fartyg	11,radiko
gondolo	gondol	11,radiko
movi	(för)flytta	11,radiko
mezo	mitt	11,radiko
proksima	nära	11,radiko
granda	stor	11,radiko
oni	man	11,pronomo
facila	lätt, enkel	11,radiko
lumo	ljus	11,radiko
flanko	sida	11,radiko
Stefan	Stephen	11,nomo
krii	skrika	11,radiko
turko	turkisk	11,radiko
renkonti	möta, träffa	11,radiko
sekvi	följa	11,radiko
Pietro	Pietro	11,nomo
koni	känna (till)	11,radiko
akvo	vatten	11,radiko
tiel	så, på det sättet	11,tabelvorto
Ĝorĝo	George	11,nomo
preni	ta	11,radiko
estro	ledare	11,sufikso
preskaŭ	nästan	11,adverbo
morti	dö	11,radiko
grava	viktig	11,radiko
Ĝino	Ĝino	11,nomo
halti	stanna	11,radiko
apud	bredvid	11,prepozicio
dek	tio	11,cifero
jaro	år	11,radiko
koloro	färg	11,radiko
Jakopo	Jacob	11,nomo
tial	därför	11,tabelvorto
timi	rädsla	11,radiko
sendi	sända, skicka	11,radiko
doĝo	doge (hög ämbetsman i Venedig)	11,radiko
bezoni	behöva	11,radiko
pagi	betala	11,radiko
er	fragment, liten del, partikel	11,sufikso
afero	sak, företeelse	11,radiko
se	om	11,konjunkcio
pano	bröd	11,radiko
Don Kamilo	Don Camillus	11,nomo
ĝis	ända till	11,prepozicio
S-ro	Herr	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	tung	12,radiko
larĝa	bred, vid	12,radiko
korpo	kropp	12,radiko
aspekto	se ut	12,radiko
rolo	roll	12,radiko
fakto	fakta	12,radiko
respekti	respektera	12,radiko
kontenta	nöjd	12,radiko
ofte	ofta	12,radiko
utila	nyttig, användbar	12,radiko
prezenti	presentera	12,radiko
ĝeni	störa, besvära	12,radiko
nokto	natt	12,radiko
arbo	träd	12,radiko
ĉefo	chef	12,radiko
vojo	väg	12,radiko
ekster	utanför	12,prepozicio
sovaĝa	vild	12,radiko
bruo	buller	12,radiko
krom	förutom, utom	12,prepozicio
tuŝi	röra, vidröra, beröra	12,radiko
naturo	natur	12,radiko
ĝenerali	generellt	12,radiko
seki	torr	12,radiko
paŝi	kliva, gå	12,radiko
vivi	leva	12,radiko
dolori	smärta, göra ont	12,radiko
agrabla	trevlig	12,radiko
ju	ju	12,partikulo
kastelo	slott	12,radiko
des	desto	12,partikulo
Adriano	Adriano	12,nomo
viro	man	12,radiko
kapabla	kapabel	12,radiko
industrio	industri	12,radiko
polico	polis	12,radiko
persono	person	12,radiko
simila	lik, liknande	12,radiko
lasta	sista	12,radiko
laŭta	hödljudd	12,radiko
orelo	öra	12,radiko
momento	ögonblick	12,radiko
ambaŭ	båda, bägge	12,adverbo
direkti	riktning	12,radiko
zorgi	bry sig	12,radiko
situacio	situation	12,radiko
branĉo	gren	12,radiko
rekta	rak, direkt	12,radiko
besto	djur	12,radiko
promeni	promenera	12,radiko
kavo	håla, hålighet	12,radiko
odoro	lukt	12,radiko
preta	färdig, redo	12,radiko
ajn	som helst	12,partikulo
efektiva	i själva verket	12,radiko
miri	förvånas, förundras	12,radiko
koro	hjärta	12,radiko
ŝajni	förefalla, tyckas, verka	12,radiko
supri	ovanför	12,radiko
buŝo	mun	12,radiko
provi	prova	12,radiko
kapti	fånga	12,radiko
lampo	lampa	12,radiko
paco	fred	12,radiko
