Marko	Marc	1,nomo
subita	sobtat, de sobte	7,radiko
ek	(començament d'una acció), (acció momentània)	7,prefikso
salti	saltar	7,radiko
ĉiam	sempre	7,tabelvorto
frua	d'hora, aviat	7,radiko
hodiaŭ	avui	7,adverbo
meti	posar, ficar	7,radiko
aĵ	cosa, objecte	7,sufikso
kuri	córrer	7,radiko
laŭ	segons, arran, al llarg de	7,prepozicio
homo	persona, ésser humà	7,radiko
kia	com (sentit adjectiu, no adverbial), quina mena de	7,tabelvorto
saĝa	savi/sàvia	7,radiko
knabo	noi	7,radiko
baldaŭ	aviat	7,adverbo
it	passat passiu	7,participo
nek	ni	7,konjunkcio
pensi	pensar	7,radiko
diablo	diable	7,radiko
memori	recordar	7,radiko
dimanĉo	diumenge	7,radiko
raporti	informar	8,radiko
noto	nota	8,radiko
aĉ	lleig	8,sufikso
kapo	cap (part superior del cos)	8,radiko
kiom	quant, quants/quantes	8,tabelvorto
da	de (quantitat)	8,prepozicio
ĉe	a tocar, a casa de	8,prepozicio
ludi	jugar	8,radiko
mem	un mateix, per si sol	8,partikulo
tiom	tant, tants/tantes	8,tabelvorto
kvankam	encara que	8,konjunkcio
tiam	llavors, aleshores, en aquell moment	8,tabelvorto
aŭdi	sentir, oir	8,radiko
vorto	paraula	8,radiko
tuj	desseguida, immediatament	8,adverbo
respondi	respondre	8,radiko
kara	estimat/da, benvolgut/da	8,radiko
problemo	problema	8,radiko
pri	pel que fa a, sobre (temàtica)	8,prepozicio
muziko	música	8,radiko
ridi	riure	8,radiko
tamen	tanmateix	8,adverbo
Petro	Pere	9,nomo
Maria	Maria	9,nomo
vojaĝi	viatjar	9,radiko
lando	país, territori	9,radiko
libera	lliure	9,radiko
tempo	temps	9,radiko
decidi	decidir	9,radiko
italio	Itàlia	9,radiko
urbo	ciutat	9,radiko
feliĉa	feliç	9,radiko
kie	on	9,tabelvorto
forgesi	oblidar	9,radiko
esperi	tenir esperança	9,radiko
us	verb en condicional	9,finaĵo
komenci	començar	9,radiko
jam	ja	9,adverbo
vagono	vagó	9,radiko
ar	conjunt	9,sufikso
nenio	res, no res	9,tabelvorto
sekreto	secret	9,radiko
onklo	oncle	9,radiko
Bonifacio	Bonifaci	9,nomo
plena	ple/plena	9,radiko
um	significat indefinit (comodí per diferenciar sentit o matís)	9,sufikso
sia	pronom reflexiu	9,radiko
uzi	usar, emprar	9,radiko
domo	casa, edifici	9,radiko
ad	acció continuada	9,sufikso
atendi	esperar	9,radiko
do	per tant	9,adverbo
kial	per què	9,tabelvorto
neniam	mai (en negacions)	9,tabelvorto
kiel	com (sentit adverbial)	10,tabelvorto
pasi	passar	10,radiko
naski	engendrar	10,radiko
kelka	alguns/algunes	10,radiko
familio	família	10,radiko
an	membre, partidari	10,sufikso
iom	una mica, una certa quantitat, gens (en preguntes)	10,tabelvorto
trovi	trobar	10,radiko
almenaŭ	almenys	10,adverbo
ordo	ordre, endreç	10,radiko
io	alguna cosa, quelcom	10,tabelvorto
manki	faltar, mancar	10,radiko
lakto	llet	10,radiko
necesa	necessari/a	10,radiko
anstataŭ	en comptes de	10,prepozicio
intereso	interessar	10,radiko
ekskurso	excursió	10,radiko
klubo	club	10,radiko
ĵeti	tirar, llançar	10,radiko
ia	alguna mena de	10,tabelvorto
uj	contenidor, arbre, país	10,sufikso
ĝusta	correcte	10,radiko
		10,
inter	entre	10,prepozicio
sama	mateix/a	10,radiko
fojo	vegada, cop	10,radiko
rajti	poder, tenir dret (a)	10,radiko
proponi	proposar	10,radiko
du	dos/dues	10,cifero
parto	part	10,radiko
sukceso	tenir èxit	10,radiko
iu	algú, algun, alguna	10,tabelvorto
ideo	idea	10,novaj
tro	massa	10,adverbo
ec	qualitat abstracta	10,sufikso
reala	real	10,radiko
silento	callar, estar en silenci	10,radiko
daŭri	durar	10,radiko
nu	bé/bé doncs	10,interjekcio
minuto	minut	10,radiko
telefono	telèfon	10,radiko
viziti	visitar	10,radiko
dolĉa	dolç/a	10,radiko
atenti	estar atent, parar atenció	10,radiko
dika	gras/grassa	10,radiko
ŝanĝi	canviar	10,radiko
opinii	opinar	10,radiko
sen	sense	10,prepozicio
sola	sol/a, únic/a	10,radiko
Veneci	Venècia	11,radiko
Sankt-Mark	Sant Marc	11,nomo
placo	plaça	11,radiko
milito	guerra	11,radiko
maro	mar	11,radiko
ŝipo	vaixell	11,radiko
gondolo	góndola	11,radiko
movi	moure	11,radiko
mezo	mig (ubicació)	11,radiko
proksima	proper/a, pròxim/a	11,radiko
granda	gran	11,radiko
oni	se, un (hom), la gent	11,pronomo
facila	fàcil	11,radiko
lumo	llum	11,radiko
flanko	costat	11,radiko
Stefan	Esteve	11,nomo
krii	cridar	11,radiko
turko	turc/a	11,radiko
renkonti	trobar-se (amb), topar	11,radiko
sekvi	seguir	11,radiko
Pietro	Pietro	11,nomo
koni	conèixer	11,radiko
akvo	aigua	11,radiko
tiel	així, d'aquesta manera, tan	11,tabelvorto
Ĝorĝo	Ĝorĝo	11,nomo
preni	prendre	11,radiko
estro	cap, màxima autoritat	11,sufikso
preskaŭ	quasi	11,adverbo
morti	morir	11,radiko
grava	important	11,radiko
Ĝino	Ĝino	11,nomo
halti	aturar-se, parar-se	11,radiko
apud	al costat de	11,prepozicio
dek	deu	11,cifero
jaro	any	11,radiko
koloro	color	11,radiko
Jakopo	Jaume	11,nomo
tial	per tal raó, per tal motiu, per això	11,tabelvorto
timi	témer, tenir por	11,radiko
sendi	enviar	11,radiko
doĝo	dux	11,radiko
bezoni	necessitar	11,radiko
pagi	pagar	11,radiko
er	fragment, peça petita, partícula	11,sufikso
afero	assumpte, cosa	11,radiko
se	si (condicional)	11,konjunkcio
pano	pa	11,radiko
Don Kamilo	Don Camilo	11,nomo
ĝis	fins	11,prepozicio
S-ro	Sr.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	pesar (tenir pes)	12,radiko
larĝa	ample/a	12,radiko
korpo	cos	12,radiko
aspekto	semblar (aspecte)	12,radiko
rolo	paper, rol	12,radiko
fakto	fet	12,radiko
respekti	respectar	12,radiko
kontenta	satisfet/a, content/a	12,radiko
ofte	freqüent, sovint	12,radiko
utila	útil	12,radiko
prezenti	presentar	12,radiko
ĝeni	molestar, fer nosa	12,radiko
nokto	nit	12,radiko
arbo	arbre	12,radiko
ĉefo	cap (directiu)	12,radiko
vojo	camí	12,radiko
ekster	fora de	12,prepozicio
sovaĝa	salvatge	12,radiko
bruo	soroll	12,radiko
krom	a més de, a banda de, excepte	12,prepozicio
tuŝi	tocar	12,radiko
naturo	natura	12,radiko
ĝenerali	general	12,radiko
seki	sec/a	12,radiko
paŝi	caminar, pas, passa	12,radiko
vivi	viure	12,radiko
dolori	fer mal, doler	12,radiko
agrabla	agradable	12,radiko
ju	quant	12,partikulo
kastelo	castell	12,radiko
des	tant	12,partikulo
Adriano	Adrià	12,nomo
viro	home, mascle	12,radiko
kapabla	capaç	12,radiko
industrio	indústria	12,radiko
polico	policía	12,radiko
persono	persona, personatge	12,radiko
simila	similar, semblant	12,radiko
lasta	últim/a	12,radiko
laŭta	fort/a (so)	12,radiko
orelo	orella	12,radiko
momento	moment	12,radiko
ambaŭ	ambdós, ambdues	12,adverbo
direkti	direcció	12,radiko
zorgi	ocupar-se, tenir cura (de), preocupar-se, amoïnar-se	12,radiko
situacio	situació	12,radiko
branĉo	branca	12,radiko
rekta	directe/a	12,radiko
besto	animal	12,radiko
promeni	passejar	12,radiko
kavo	cavitat	12,radiko
odoro	fer olor	12,radiko
preta	llest, a punt, preparat/da	12,radiko
ajn	qualsevol	12,partikulo
efektiva	efectiu	12,radiko
miri	meravellar-se, admirar-se, preguntar-se	12,radiko
koro	cor	12,radiko
ŝajni	semblar	12,radiko
supri	(a) dalt	12,radiko
buŝo	boca	12,radiko
provi	intentar, provar	12,radiko
kapti	atrapar, capturar, segrestar	12,radiko
lampo	làmpada	12,radiko
paco	pau	12,radiko
formo	forma	12,radiko
teni	sostenir	12,radiko
sono	sonar	12,radiko
aŭtoritato	autoritat	12,radiko
nuuuu	nuuuu	12,interjekcio
eee	eee	12,interjekcio
fuŝi	espatllar, malmetre, esguerrar	12,radiko
klara	clar	12,radiko
eĉ	inclús, fins i tot	12,adverbo
tono	to	12,radiko
ha	ha	12,interjekcio
