Marko	Marko	1,nomo
horo	jam,kata akar	6,radiko
por	untuk	6,prepozicio
helpi	tolong,kata akar	6,radiko
montri	tunjuk,kata akar	6,radiko
piedo	kaki,kata akar	6,radiko
vesti	memakai,kata akar	6,radiko
ĉio	semua	6,tabelvorto
fine	akhirnya	6,vorto
semajno	minggu,kata akar	6,radiko
sub	di bawah	6,prepozicio
teo	teh,kata akar	6,radiko
mateno	pagi,kata akar	6,radiko
vespero	senja,kata akar	6,radiko
deziri	mengharap,kata akar	6,radiko
trankvila	tenang,kata akar	6,radiko
farti	merasa,kata akar	6,radiko
eg	besar, bertengkar	6,sufikso
Karlo	Karlo	6,nomo
hm	hm	6,interjekcio
dormi	tidur,kata akar	7,radiko
suno	matahari,kata akar	7,radiko
subita	tiba-tiba,kata akar	7,radiko
ek	mula satu perbuatan, tiba-tiba	7,prefikso
salti	lompat,kata akar	7,radiko
ĉiam	selalu	7,tabelvorto
frua	awal,kata akar	7,radiko
hodiaŭ	hari ini	7,adverbo
meti	letak,kata akar	7,radiko
aĵ	barang, manifestasi yang kekal	7,sufikso
kuri	lari,kata akar	7,radiko
laŭ	mengikut	7,prepozicio
homo	manusia,kata akar	7,radiko
kia	apa jenis	7,tabelvorto
saĝa	bijak,kata akar	7,radiko
knabo	lelaki kecil,kata akar	7,radiko
baldaŭ	tidak lama lagi	7,adverbo
it	imbuhan belakang untuk menjadikan kata kerja pasif menujukkan perbuatan telah berlalu	7,participo
nek	tidak	7,konjunkcio
pensi	fikir,kata akar	7,radiko
diablo	iblis,kata akar	7,radiko
memori	memori,kata akar	7,radiko
dimanĉo	hari Ahad,kata akar	7,radiko
raporti	lapor,kata akar	8,radiko
noto	nota,kata akar	8,radiko
aĉ	menujukkan yang tidak bagus	8,sufikso
kapo	kepala,kata akar	8,radiko
kiom	berapa	8,tabelvorto
da	daripada	8,prepozicio
ĉe	di	8,prepozicio
ludi	main,kata akar	8,radiko
mem	diri sendiri	8,partikulo
tiom	begitu banyak	8,tabelvorto
kvankam	walaupun	8,konjunkcio
tiam	masa itu	8,tabelvorto
aŭdi	mendengar, kata akar	8,radiko
vorto	perkataan,kata akar	8,radiko
tuj	segera	8,adverbo
respondi	jawab,kata akar	8,radiko
kara	sayang,kata akar	8,radiko
problemo	masalah,kata akar	8,radiko
pri	mengenai	8,prepozicio
muziko	muzik,kata akar	8,radiko
ridi	ketawa,kata akar	8,radiko
tamen	bagaimanapun	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	perjalanan,kata akar	9,radiko
lando	tanah,kata akar	9,radiko
libera	bebas,kata akar	9,radiko
tempo	masa,kata akar	9,radiko
decidi	memutus,kata akar	9,radiko
italio	Itali,kata akar	9,radiko
urbo	bandaraya,kata akar	9,radiko
feliĉa	gembira,kata akar	9,radiko
kie	di mana	9,tabelvorto
forgesi	lupa,kata akar	9,radiko
esperi	mengharap,kata akar	9,radiko
us	Kata kerja bersyarat	9,finaĵo
komenci	mula,kata akar	9,radiko
jam	sesudah	9,adverbo
vagono	gerabak,kata akar	9,radiko
ar	grup atau koleksi	9,sufikso
nenio	tidak ada apa-apa	9,tabelvorto
sekreto	rahsia,kata akar	9,radiko
onklo	pakcik,kata akar	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	penuh,kata akar	9,radiko
um	makna tidak ditentukan	9,sufikso
sia	kata ganti refleksif,kata akar	9,radiko
