Marko	Marek	1,nomo
kuri	běžet	7,radiko
laŭ	podle, podél	7,prepozicio
homo	člověk	7,radiko
kia	jaký	7,tabelvorto
saĝa	moudře	7,radiko
knabo	kluk	7,radiko
baldaŭ	brzy	7,adverbo
it	příčestí trpné minulé	7,participo
nek	ani	7,konjunkcio
pensi	myslet	7,radiko
diablo	ďábel	7,radiko
memori	pamamtovat	7,radiko
dimanĉo	Neděle	7,radiko
raporti	zpráva	8,radiko
noto	známka, poznámka	8,radiko
aĉ	zhoršená kvalita	8,sufikso
kapo	hlava	8,radiko
kiom	kolik	8,tabelvorto
da	(předložka množství)	8,prepozicio
ĉe	u, při	8,prepozicio
ludi	hrát	8,radiko
mem	sám, osobně	8,partikulo
tiom	tolik	8,tabelvorto
kvankam	ačkoli	8,konjunkcio
tiam	tehdy	8,tabelvorto
aŭdi	slyšet	8,radiko
vorto	slovo	8,radiko
tuj	hned	8,adverbo
respondi	odpovědět	8,radiko
kara	drahý (milý)	8,radiko
problemo	problém	8,radiko
pri	o	8,prepozicio
muziko	hudba	8,radiko
ridi	smát se	8,radiko
tamen	nicméně, přesto, však	8,adverbo
Petro	Petr	9,nomo
Maria	Marie	9,nomo
vojaĝi	cestovat, cestování	9,radiko
lando	země	9,radiko
libera	volný	9,radiko
tempo	čas	9,radiko
decidi	rozhodnout	9,radiko
italio	Itálie	9,radiko
urbo	město	9,radiko
feliĉa	štěstí	9,radiko
kie	kde	9,tabelvorto
forgesi	zapomenout	9,radiko
esperi	doufat	9,radiko
us	koncovka pro podmiňovací způsob	9,finaĵo
komenci	začít	9,radiko
jam	již, už	9,adverbo
vagono	vagon, vůz	9,radiko
ar	vyšší celek	9,sufikso
nenio	nic	9,tabelvorto
sekreto	tajemství	9,radiko
onklo	strýc	9,radiko
Bonifacio	Bonifác	9,nomo
plena	plný	9,radiko
um	(používá se v různým významech)	9,sufikso
sia	zvratné zájmeno	9,radiko
uzi	použít	9,radiko
domo	dům	9,radiko
ad	trvání děje	9,sufikso
atendi	čekat	9,radiko
do	tedy	9,adverbo
kial	proč	9,tabelvorto
neniam	nikdy	9,tabelvorto
kiel	jak	10,tabelvorto
pasi	míjet	10,radiko
naski	rodit	10,radiko
kelka	nějaký, několik	10,radiko
familio	rodina	10,radiko
an	člen skupiny	10,sufikso
iom	trochu	10,tabelvorto
trovi	najít	10,radiko
almenaŭ	alespoň	10,adverbo
ordo	řádný, pořádný	10,radiko
io	něco, cosi	10,tabelvorto
manki	chybět	10,radiko
