Marko	Marko	1,nomo
meti	taruh, simpan	7,radiko
aĵ	benda, perwujudan segala sesuatu yang konkrit	7,sufikso
kuri	lari	7,radiko
laŭ	berdasarkan, menurut	7,prepozicio
homo	manusia	7,radiko
kia	jenis apa, betapa	7,tabelvorto
saĝa	bijak	7,radiko
knabo	anak laki-laki	7,radiko
baldaŭ	segera	7,adverbo
it	kata kerja pasif di masa lampau (past passive)	7,participo
nek	bukan (… ataupun)	7,konjunkcio
pensi	pikir	7,radiko
diablo	setan	7,radiko
memori	ingat	7,radiko
dimanĉo	Minggu	7,radiko
raporti	lapor	8,radiko
noto	catat	8,radiko
aĉ	menyatakan kualitas yang tidak diinginkan	8,sufikso
kapo	kepala	8,radiko
kiom	seberapa banyak	8,tabelvorto
da	dari, tentang	8,prepozicio
ĉe	di	8,prepozicio
ludi	main	8,radiko
mem	(diri) sendiri	8,partikulo
tiom	sejumlah itu	8,tabelvorto
kvankam	meskipun	8,konjunkcio
tiam	waktu itu	8,tabelvorto
aŭdi	dengar	8,radiko
vorto	kata	8,radiko
tuj	langsung, segera	8,adverbo
respondi	menjawab	8,radiko
kara	sayang,	8,radiko
problemo	masalah	8,radiko
pri	tentang, mengenai	8,prepozicio
muziko	musik	8,radiko
ridi	tawa	8,radiko
tamen	bagaimanapun	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	perjalanan	9,radiko
lando	negeri	9,radiko
libera	gratis, bebas	9,radiko
tempo	waktu	9,radiko
decidi	memutuskan	9,radiko
italio	Itali	9,radiko
urbo	kota	9,radiko
feliĉa	bahagia, senang	9,radiko
kie	di mana	9,tabelvorto
forgesi	lupa	9,radiko
esperi	berharap	9,radiko
us	Kata kerja dalam bentuk kondisional	9,finaĵo
komenci	mulai	9,radiko
jam	sudah	9,adverbo
vagono	gerbong, kereta	9,radiko
ar	grup, sekumpulan	9,sufikso
nenio	tidak ada sesuatu	9,tabelvorto
sekreto	rahasia	9,radiko
onklo	paman	9,radiko
Bonifacio	Bonifasius	9,nomo
plena	penuh	9,radiko
um	makna yang tidak tentu	9,sufikso
sia	(kata ganti refleksif)	9,radiko
uzi	pakai, guna	9,radiko
domo	rumah	9,radiko
ad	perbuatan yang berulang-ulang	9,sufikso
atendi	tunggu	9,radiko
do	jadi	9,adverbo
kial	mengapa	9,tabelvorto
neniam	tidak pernah	9,tabelvorto
kiel	bagaimana	10,tabelvorto
pasi	lewat	10,radiko
naski	melahirkan	10,radiko
kelka	beberapa	10,radiko
familio	keluarga	10,radiko
an	anggota sebuah kelompok	10,sufikso
iom	sejumlah	10,tabelvorto
trovi	menemukan	10,radiko
almenaŭ	setidaknya	10,adverbo
ordo	suruh, perintah	10,radiko
io	sesuatu	10,tabelvorto
manki	kurang	10,radiko
lakto	susu	10,radiko
necesa	perlu, butuh	10,radiko
anstataŭ	alih-alih	10,prepozicio
intereso	tertarik	10,radiko
ekskurso	ekskursi, perjalanan wisata	10,radiko
klubo	klub	10,radiko
ĵeti	lempar	10,radiko
ia	sejenis, semacam	10,tabelvorto
uj	wadah, pohon, negara	10,sufikso
ĝusta	benar, tepat	10,radiko
for	jauh	10,prefikso
inter	di antara	10,prepozicio
sama	sama	10,radiko
fojo	kali, kejadian	10,radiko
rajti	berhak	10,radiko
proponi	usul	10,radiko
du	dua	10,cifero
parto	bagian	10,radiko
sukceso	sukses	10,radiko
iu	seseorang	10,tabelvorto
ideo	ide	10,novaj
tro	terlalu	10,adverbo
