Marko	Марко	1,nomo
laŭ	по, согласно с	7,prepozicio
homo	человек	7,radiko
kia	какой	7,tabelvorto
saĝa	умный	7,radiko
knabo	мальчик	7,radiko
baldaŭ	скоро	7,adverbo
it	пассивное причастие прошедшего времени	7,participo
nek	ни	7,konjunkcio
pensi	думать	7,radiko
diablo	дьявол	7,radiko
memori	запомнить	7,radiko
dimanĉo	Воскресение	7,radiko
raporti	доложить	8,radiko
noto	заметка	8,radiko
aĉ	обозначает низкое качество, непригодность, никчёмность	8,sufikso
kapo	голова	8,radiko
kiom	сколько	8,tabelvorto
da	мера, количество	8,prepozicio
ĉe	при, у	8,prepozicio
ludi	играть	8,radiko
mem	сам	8,partikulo
tiom	столько	8,tabelvorto
kvankam	хотя	8,konjunkcio
tiam	тогда	8,tabelvorto
aŭdi	слышать	8,radiko
vorto	слово	8,radiko
tuj	сразу	8,adverbo
respondi	ответить	8,radiko
kara	дорогой, милый	8,radiko
problemo	проблема	8,radiko
pri	о, об	8,prepozicio
muziko	музыка	8,radiko
ridi	смеяться	8,radiko
tamen	однако	8,adverbo
Petro	Петро	9,nomo
Maria	Мария	9,nomo
vojaĝi	путешествие	9,radiko
lando	страна	9,radiko
libera	свободный	9,radiko
tempo	время	9,radiko
decidi	решать, принять решение	9,radiko
italio	Италия	9,radiko
urbo	город	9,radiko
feliĉa	счастье	9,radiko
kie	где	9,tabelvorto
forgesi	забыть	9,radiko
esperi	надеяться	9,radiko
us	Условное наклонение глагола	9,finaĵo
komenci	начинать	9,radiko
jam	уже	9,adverbo
vagono	вагон	9,radiko
ar	совокупность, набор	9,sufikso
nenio	ничего	9,tabelvorto
sekreto	тайна	9,radiko
onklo	дядя	9,radiko
Bonifacio	Бонифацио	9,nomo
plena	полный	9,radiko
um	неопределённое значение	9,sufikso
sia	себе, себя, свой	9,radiko
uzi	использовать	9,radiko
domo	дом	9,radiko
ad	продолжительное действие	9,sufikso
atendi	ждать	9,radiko
do	итак	9,adverbo
kial	почему	9,tabelvorto
neniam	никогда	9,tabelvorto
kiel	как	10,tabelvorto
pasi	пройти	10,radiko
naski	родить	10,radiko
kelka	некоторый	10,radiko
familio	семья	10,radiko
an	член, участник	10,sufikso
iom	сколько-то	10,tabelvorto
trovi	искать	10,radiko
almenaŭ	по крайней мере, по меньшей мере	10,adverbo
ordo	порядок	10,radiko
io	что-то	10,tabelvorto
manki	не хватать	10,radiko
lakto	молоко	10,radiko
necesa	необходимый, нужный	10,radiko
anstataŭ	вместо	10,prepozicio
intereso	интересоваться	10,radiko
ekskurso	экскурсия, прогулка	10,radiko
klubo	клуб	10,radiko
ĵeti	кидать	10,radiko
ia	какой-то	10,tabelvorto
uj	вместилище, страна	10,sufikso
ĝusta	точный, верный, правильный	10,radiko
for	прочь, вон, долой	10,prefikso
inter	между	10,prepozicio
sama	такой-же	10,radiko
fojo	раз, случай	10,radiko
rajti	иметь право	10,radiko
proponi	предложить	10,radiko
du	два	10,cifero
parto	часть	10,radiko
sukceso	успех, удача	10,radiko
iu	кто-то	10,tabelvorto
ideo	идея	10,novaj
tro	слишком, чересчур	10,adverbo
ec	абстрактное качество	10,sufikso
reala	настоящий	10,radiko
silento	тихий	10,radiko
daŭri	продолжать	10,radiko
nu	ну	10,interjekcio
minuto	минута	10,radiko
telefono	телефон	10,radiko
viziti	посетить	10,radiko
dolĉa	вкусный	10,radiko
atenti	внимание	10,radiko
dika	толстый, полный	10,radiko
ŝanĝi	менять	10,radiko
opinii	мнение	10,radiko
sen	без	10,prepozicio
sola	одинокий	10,radiko
Veneci	Венеция	11,radiko
Sankt-Mark	Санкт-Маркус	11,nomo
placo	площадь, площадка	11,radiko
milito	война	11,radiko
maro	море	11,radiko
ŝipo	корабль, судно	11,radiko
gondolo	гондола	11,radiko
movi	двигать	11,radiko
mezo	середина	11,radiko
proksima	близкий	11,radiko
granda	большой, великий	11,radiko
oni	неопределённое местоимение	11,pronomo
facila	лёгкий	11,radiko
lumo	свет	11,radiko
flanko	сторона, бок	11,radiko
Stefan	Стефан	11,nomo
krii	кричать	11,radiko
turko	турецкий	11,radiko
renkonti	встретить	11,radiko
sekvi	следовать	11,radiko
Pietro	Пётр	11,nomo
koni	знать	11,radiko
akvo	вода	11,radiko
tiel	так	11,tabelvorto
Ĝorĝo	Джордж	11,nomo
preni	взять	11,radiko
estro	главный, правитель	11,sufikso
preskaŭ	почти	11,adverbo
morti	умереть	11,radiko
grava	важный	11,radiko
Ĝino	Джино	11,nomo
halti	остановить	11,radiko
apud	около, возле	11,prepozicio
dek	десять	11,cifero
