Marko	Marco	1,nomo
nek	né	7,konjunkcio
pensi	pensare	7,radiko
diablo	diavolo	7,radiko
memori	ricordare	7,radiko
dimanĉo	domenica	7,radiko
raporti	rapporto, esposto	8,radiko
noto	nota, appunto	8,radiko
aĉ	dispregiativo	8,sufikso
kapo	testa	8,radiko
kiom	quanto	8,tabelvorto
da	di (quantità)	8,prepozicio
ĉe	presso	8,prepozicio
ludi	giocare	8,radiko
mem	stesso	8,partikulo
tiom	tanto	8,tabelvorto
kvankam	sebbene, benché	8,konjunkcio
tiam	allora	8,tabelvorto
aŭdi	sentire (udito)	8,radiko
vorto	parola	8,radiko
tuj	subito	8,adverbo
respondi	rispondere	8,radiko
kara	caro	8,radiko
problemo	problema	8,radiko
pri	riguardo a	8,prepozicio
muziko	musica	8,radiko
ridi	ridere	8,radiko
tamen	tuttavia	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	viaggio	9,radiko
lando	terra	9,radiko
libera	libero	9,radiko
tempo	tempo	9,radiko
decidi	decidere	9,radiko
italio	Italia	9,radiko
urbo	città	9,radiko
feliĉa	felice	9,radiko
kie	dove	9,tabelvorto
forgesi	dimenticare	9,radiko
esperi	sperare	9,radiko
us	condizionale	9,finaĵo
komenci	cominciare	9,radiko
jam	già	9,adverbo
vagono	vagone, carrozza	9,radiko
ar	gruppo, aggregato	9,sufikso
nenio	niente, nessuna cosa	9,tabelvorto
sekreto	segreto	9,radiko
onklo	zio	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	pieno	9,radiko
um	suffisso indefinito	9,sufikso
sia	(pronome riflessivo)	9,radiko
uzi	usare	9,radiko
domo	casa	9,radiko
ad	azione continuata o ripetuta	9,sufikso
atendi	attendere, aspettare	9,radiko
do	quindi	9,adverbo
kial	perché	9,tabelvorto
neniam	mai	9,tabelvorto
kiel	come	10,tabelvorto
pasi	passare	10,radiko
naski	partorire	10,radiko
kelka	qualche	10,radiko
familio	famiglia	10,radiko
an	membro di un gruppo	10,sufikso
iom	un poco, qualche volta	10,tabelvorto
trovi	trovare	10,radiko
almenaŭ	almeno	10,adverbo
ordo	ordine	10,radiko
io	qualche cosa	10,tabelvorto
manki	mancare	10,radiko
lakto	latte	10,radiko
necesa	necessitare	10,radiko
anstataŭ	invece	10,prepozicio
intereso	interessare	10,radiko
ekskurso	escursione	10,radiko
klubo	club	10,radiko
ĵeti	lanciare	10,radiko
ia	qualche, di qualche specie	10,tabelvorto
uj	contenitore totale	10,sufikso
ĝusta	giust, corretto	10,radiko
for	lontano, via	10,prefikso
inter	tra	10,prepozicio
sama	stesso	10,radiko
fojo	volta, occasione	10,radiko
rajti	avere il permesso di, potere	10,radiko
proponi	proporre	10,radiko
du	due	10,cifero
parto	parte	10,radiko
sukceso	successo	10,radiko
iu	qualcuno	10,tabelvorto
ideo	idea	10,novaj
tro	troppo	10,adverbo
ec	qualità astratta	10,sufikso
reala	reale	10,radiko
silento	silenzioso	10,radiko
daŭri	proseguire, continuare	10,radiko
nu	bene, su, dunque	10,interjekcio
minuto	minuto	10,radiko
telefono	telefono	10,radiko
viziti	visitare	10,radiko
dolĉa	dolce	10,radiko
atenti	stare attento	10,radiko
