Marko	Marko	1,nomo
memori	spomniti se	7,radiko
dimanĉo	nedelja	7,radiko
raporti	poročati	8,radiko
noto	opomba	8,radiko
aĉ	ogabnost, grdoba	8,sufikso
kapo	glava	8,radiko
kiom	koliko	8,tabelvorto
da	od	8,prepozicio
ĉe	pri	8,prepozicio
ludi	igrati	8,radiko
mem	sam	8,radiko
tiom	toliko	8,tabelvorto
kvankam	čeprav, četudi	8,konjunkcio
tiam	takrat	8,tabelvorto
aŭdi	slišati	8,radiko
vorto	beseda	8,radiko
tuj	takoj	8,adverbo
respondi	odgovoriti	8,radiko
kara	ljub	8,radiko
problemo	problem	8,radiko
pri	o	8,prepozicio
muziko	glasba	8,radiko
ridi	smejati se	8,radiko
tamen	vendar	8,adverbo
Petro	Peter	9,nomo
Maria	Marija	9,nomo
vojaĝi	potovanje	9,radiko
lando	dežela	9,radiko
libera	prost	9,radiko
tempo	čas	9,radiko
decidi	odločiti	9,radiko
Italio	Italija	9,radiko
urbo	mesto	9,radiko
feliĉa	srečen	9,radiko
kie	kje	9,tabelvorto
forgesi	pozabiti	9,radiko
esperi	upati	9,radiko
us	bi	9,radiko
komenci	začeti	9,radiko
jam	že	9,adverbo
vagono	vagon	9,radiko
ar	skupina, množica	9,sufikso
nenio	nič	9,tabelvorto
sekreto	skrivnost	9,radiko
onklo	stric	9,radiko
Bonifacio	Bonifacij	9,nomo
plena	poln	9,radiko
um	joker pripona uporablja se, kjer nobena druga pripona ne ustreza	9,sufikso
sia	povratni zaimek	9,radiko
uzi	uporabiti	9,radiko
domo	hiša	9,radiko
ad	trajanje	9,sufikso
atendi	čakati	9,radiko
do	torej	9,adverbo
kial	zakaj	9,tabelvorto
neniam	nikoli	9,tabelvorto
kiel	kako	10,tabelvorto
pasi	miniti	10,radiko
naski	roditi	10,radiko
kelka	nekaj	10,radiko
familio	družina	10,radiko
an	član skupine	10,sufikso
iom	nekoliko	10,tabelvorto
trovi	najti	10,radiko
almenaŭ	vsaj	10,adverbo
ordo	red	10,radiko
io	nekaj	10,tabelvorto
manki	manjkati	10,radiko
lakto	mleko	10,radiko
necesa	potrebno	10,radiko
anstataŭ	namesto	10,prepozicio
intereso	zanimanje	10,radiko
ekskurso	izlet	10,radiko
klubo	klub	10,radiko
ĵeti	vreči	10,radiko
ia	nekakšen	10,tabelvorto
uj	posoda, steblo, država	10,sufikso
ĝusta	pravilno	10,radiko
for	stran, proč	10,prefikso
inter	med	10,prepozicio
sama	isto	10,radiko
fojo	krat, včasih	10,radiko
rajti	smeti	10,radiko
proponi	predlagati	10,radiko
du	dve	10,cifero
parto	del	10,radiko
sukceso	uspeh	10,radiko
iu	kdorkoli, nekdo	10,tabelvorto
ideo	ideja	10,novaj
tro	preveč	10,adverbo
ec	abstraktno	10,sufikso
reala	resnično	10,radiko
silento	molčati	10,radiko
daŭri	nadaljevati	10,radiko
nu	torej	10,radiko
minuto	minuta	10,radiko
telefono	telefon	10,radiko
viziti	obiskati	10,radiko
dolĉa	sladko	10,radiko
atenti	paziti	10,radiko
dika	debel, rejen	10,radiko
ŝanĝi	spremeniti	10,radiko
opinii	mnenje	10,radiko
sen	brez	10,prepozicio
sola	sam	10,radiko
Veneci	Benetke	11,radiko
Sankt-Mark	Sveti Marko	11,nomo
placo	trg, ploščad	11,radiko
milito	vojna	11,radiko
maro	morje	11,radiko
ŝipo	ladja	11,radiko
gondolo	gondola	11,radiko
movi	gibati	11,radiko
mezo	sredina	11,radiko
proksima	blizu	11,radiko
granda	velik	11,radiko
oni	nedoločni zaimek	11,pronomo
facila	lahko	11,radiko
lumo	svetloba	11,radiko
flanko	stran	11,radiko
Stefan	Štefan	11,nomo
krii	kričati	11,radiko
turko	turško	11,radiko
renkonti	srečati	11,radiko
sekvi	slediti	11,radiko
Pietro	Pietro	11,nomo
koni	poznati	11,radiko
akvo	voda	11,radiko
tiel	tako	11,tabelvorto
