Marko	Marko	1,nomo
farti	hissetmek(ruh/sağlık hali), olmak (iyi/kötü)	6,radiko
eg	büyük	6,sufikso
Karlo	Karlo	6,nomo
hm	hmm	6,interjekcio
dormi	uyku	7,radiko
suno	güneş	7,radiko
subita	aniden	7,radiko
ek	aksiyon başlangıc, ani başlangıç	7,prefikso
salti	zıplamak	7,radiko
ĉiam	her zaman	7,tabelvorto
frua	erken	7,radiko
hodiaŭ	bugüm	7,adverbo
meti	koymak	7,radiko
aĵ	şey, somut anlam	7,sufikso
kuri	koşmak	7,radiko
laŭ	uygun olarak, boyunca	7,prepozicio
homo	insan	7,radiko
kia	ne çeşit	7,tabelvorto
saĝa	akıllı	7,radiko
knabo	oğlan	7,radiko
baldaŭ	yakında	7,adverbo
it	geçmiş zaman pasif	7,participo
nek	ne o... ne de bu...	7,konjunkcio
pensi	düşünmek	7,radiko
diablo	şeytan	7,radiko
memori	hatırlamak	7,radiko
dimanĉo	Pazar	7,radiko
raporti	rapor vermek	8,radiko
noto	not	8,radiko
aĉ	istenmeyen kalite gösterir	8,sufikso
kapo	kafa	8,radiko
kiom	ne kadar	8,tabelvorto
da	(miktar belirtir)	8,prepozicio
ĉe	-de, -da	8,prepozicio
ludi	oynamak	8,radiko
mem	kendisi	8,partikulo
tiom	şu kadar	8,tabelvorto
kvankam	rağmen	8,konjunkcio
tiam	bu zaman	8,tabelvorto
aŭdi	duymak	8,radiko
vorto	kelime	8,radiko
tuj	hemen	8,adverbo
respondi	cevap vermek	8,radiko
kara	değerli, kıymetli	8,radiko
problemo	problem	8,radiko
pri	hakkında	8,prepozicio
muziko	müzik	8,radiko
ridi	gülmek	8,radiko
tamen	ancak	8,adverbo
Petro	Peter	9,nomo
Maria	Maria	9,nomo
vojaĝi	seyahat	9,radiko
lando	toprak	9,radiko
libera	serbest	9,radiko
tempo	zaman	9,radiko
decidi	karar vermek	9,radiko
italio	İtalya	9,radiko
urbo	şehir	9,radiko
feliĉa	mutlu	9,radiko
kie	nerede	9,tabelvorto
forgesi	unutmak	9,radiko
esperi	ummak, umut etmek	9,radiko
us	Fiil şartlı zaman/dilek kipi eki	9,finaĵo
komenci	başlamak	9,radiko
jam	şimdiden	9,adverbo
vagono	vagon	9,radiko
ar	grup, bir araya gelen şeylerin bütünü	9,sufikso
nenio	hiç birşey	9,tabelvorto
sekreto	gizli	9,radiko
onklo	amca	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	dolu, full	9,radiko
um	belirsiz anlamı olan ek	9,sufikso
sia	dönüşlü zamir (kendi, kendisini)	9,radiko
uzi	kullanmak	9,radiko
domo	ev	9,radiko
ad	yinelenen aksiyon	9,sufikso
atendi	beklemek	9,radiko
do	dolayısı ile	9,adverbo
kial	neden	9,tabelvorto
neniam	hiç bir zaman	9,tabelvorto
kiel	nasıl	10,tabelvorto
pasi	geçmek	10,radiko
naski	doğurmak	10,radiko
kelka	bazı, bir kaç	10,radiko
familio	aile	10,radiko
an	grup uyesi	10,sufikso
iom	bir miktar	10,tabelvorto
trovi	bulmak	10,radiko
almenaŭ	hiç olmazsa, en azından	10,adverbo
ordo	emretmek, sipariş vermek	10,radiko
io	bir şey	10,tabelvorto
manki	eksik olmak	10,radiko
lakto	süt	10,radiko
necesa	ihtiyaç duymak	10,radiko
anstataŭ	yerine	10,prepozicio
intereso	ilgilenmek	10,radiko
ekskurso	gezinti	10,radiko
klubo	klup	10,radiko
ĵeti	fırlatmak, atmak	10,radiko
ia	bir çeşit	10,tabelvorto
uj	kap, ağaç, ülke	10,sufikso
ĝusta	düzeltmek	10,radiko
for	uzak, yok etme	10,prefikso
inter	arasında	10,prepozicio
sama	aynı	10,radiko
fojo	sefer, kez, sıklık	10,radiko
rajti	izni olmak	10,radiko
proponi	önermek	10,radiko
du	iki	10,cifero
parto	parça	10,radiko
sukceso	başarı	10,radiko
iu	bir kişi	10,tabelvorto
ideo		10,novaj
tro	aşırı, aşırı fazla	10,adverbo
ec	soyut kalite	10,sufikso
reala	gerçek	10,radiko
silento	sessiz	10,radiko
daŭri	devam etmek	10,radiko
nu	ee..., şimdi...	10,interjekcio
minuto	dakika	10,radiko
telefono	telefon	10,radiko
viziti	ziyaret etmek	10,radiko
dolĉa	tatlı	10,radiko
atenti	dikkat etmek	10,radiko
dika	kalın, şişman	10,radiko
