Marko	Márk	1,nomo
knabo	fiú	7,radiko
baldaŭ	hamarosan, majd	7,adverbo
it	szenvedő múlt	7,participo
nek	sem ... sem	7,konjunkcio
pensi	gondol	7,radiko
diablo	ördög	7,radiko
memori	emlék	7,radiko
dimanĉo	vasárnap	7,radiko
raporti	jelent	8,radiko
noto	jegy	8,radiko
aĉ	alacsony minőségű, silány	8,sufikso
kapo	fej	8,radiko
kiom	mennyi	8,tabelvorto
da	mennyiségek után	8,prepozicio
ĉe	-nál/nél	8,prepozicio
ludi	játszik	8,radiko
mem	maga	8,partikulo
tiom	annyi	8,tabelvorto
kvankam	habár	8,konjunkcio
tiam	akkor	8,tabelvorto
aŭdi	hall	8,radiko
vorto	szó	8,radiko
tuj	azonnal, rögtön	8,adverbo
respondi	válaszol	8,radiko
kara	kedves, drága	8,radiko
problemo	probléma	8,radiko
pri	-ról/ről	8,prepozicio
muziko	zene	8,radiko
ridi	nevet	8,radiko
tamen	mégis	8,adverbo
Petro	Péter	9,nomo
Maria	Mária	9,nomo
vojaĝi	utazik	9,radiko
lando	ország	9,radiko
libera	szabad	9,radiko
tempo	idő	9,radiko
decidi	elhatároz	9,radiko
italio	olasz	9,radiko
urbo	város	9,radiko
feliĉa	boldog	9,radiko
kie	hol	9,tabelvorto
forgesi	felejt	9,radiko
esperi	remél	9,radiko
us	Feltételes mód	9,finaĵo
komenci	kezd	9,radiko
jam	már	9,adverbo
vagono	vagon	9,radiko
ar	csoport, gyűjtemény	9,sufikso
nenio	semmi	9,tabelvorto
sekreto	titok	9,radiko
onklo	nagybácsi	9,radiko
Bonifacio	Bonifác	9,nomo
plena	tele	9,radiko
um	határozatlan jelentés	9,sufikso
sia	visszaható névmás	9,radiko
uzi	használ	9,radiko
domo	ház	9,radiko
ad	ismétlődő cselekvés, -gat/get	9,sufikso
atendi	vár	9,radiko
do	hát	9,adverbo
kial	miért	9,tabelvorto
neniam	soha	9,tabelvorto
kiel	hogyan	10,tabelvorto
pasi	múlik	10,radiko
naski	szül	10,radiko
kelka	néhány	10,radiko
familio	család	10,radiko
an	egy csoport tagja	10,sufikso
iom	valamennyi, egy kis	10,tabelvorto
trovi	talál	10,radiko
almenaŭ	legalább	10,adverbo
ordo	rend	10,radiko
io	valami	10,tabelvorto
manki	hiány	10,radiko
lakto	tej	10,radiko
necesa	szükséges	10,radiko
anstataŭ	helyett	10,prepozicio
intereso	érdekes	10,radiko
ekskurso	kirándul	10,radiko
klubo	klub	10,radiko
ĵeti	dob	10,radiko
ia	valamilyen	10,tabelvorto
uj	tartály, ország (ritka)	10,sufikso
ĝusta	helyes	10,radiko
for	el, tova	10,prefikso
inter	között	10,prepozicio
sama	ugyanaz	10,radiko
fojo	alkalom	10,radiko
rajti	szabad, jog	10,radiko
proponi	ajánl, javasol	10,radiko
du	kettő	10,cifero
parto	rész	10,radiko
sukceso	siker	10,radiko
iu	valaki	10,tabelvorto
ideo		10,novaj
tro	túl	10,adverbo
ec	-ság/ség (tulajdonság)	10,sufikso
reala	valódi	10,radiko
silento	csend	10,radiko
daŭri	tart	10,radiko
nu	nos	10,interjekcio
minuto	perc	10,radiko
telefono	telefon	10,radiko
viziti	látogat	10,radiko
dolĉa	édes	10,radiko
atenti	figyel	10,radiko
dika	kövér	10,radiko
ŝanĝi	cserél, vált	10,radiko
opinii	vélemény	10,radiko
sen	nélkül	10,prepozicio
sola	egyedül	10,radiko
Veneci	Velence	11,radiko
Sankt-Mark	Szent Márk	11,nomo
placo	tér	11,radiko
milito	háború	11,radiko
maro	tenger	11,radiko
ŝipo	hajó	11,radiko
gondolo	gondola	11,radiko
movi	mozdít	11,radiko
mezo	közép	11,radiko
proksima	közel	11,radiko
granda	nagy	11,radiko
oni	az ember (általános alany)	11,pronomo
facila	könnyű	11,radiko
lumo	fény	11,radiko
flanko	oldal	11,radiko
Stefan	István	11,nomo
krii	kiált	11,radiko
turko	török	11,radiko
renkonti	találkozik	11,radiko
sekvi	következő	11,radiko
Pietro	Pietro	11,nomo
koni	ismer	11,radiko
akvo	víz	11,radiko
tiel	úgy	11,tabelvorto
Ĝorĝo	György	11,nomo
preni	elvesz, megfog	11,radiko
estro	főnök, vezető	11,sufikso
preskaŭ	majdnem	11,adverbo
morti	halál	11,radiko
grava	fontos	11,radiko
Ĝino	Gino	11,nomo
halti	megáll	11,radiko
apud	mellett	11,prepozicio
dek	tíz	11,cifero
jaro	év	11,radiko
koloro	szín	11,radiko
Jakopo	Jákob	11,nomo
tial	azért	11,tabelvorto
timi	fél	11,radiko
sendi	küld	11,radiko
doĝo	dózse	11,radiko
bezoni	szükség	11,radiko
pagi	fizet	11,radiko
er	rész, részecske	11,sufikso
afero	dolog	11,radiko
se	ha	11,konjunkcio
pano	kenyér	11,radiko
Don Kamilo	Don Camillo	11,nomo
ĝis	-ig	11,prepozicio
S-ro	úr	12,mallongigo
Pipelbom	Pipelbom	12,nomo
a		12,
larĝa	széles	12,radiko
korpo	test	12,radiko
aspekto	kinéz	12,radiko
rolo	szerep	12,radiko
fakto	tény	12,radiko
respekti	tisztel	12,radiko
kontenta	elégedett	12,radiko
ofte	gyakran	12,radiko
utila	hasznos	12,radiko
prezenti	bemutat	12,radiko
ĝeni	zavar	12,radiko
nokto	éjjel	12,radiko
arbo	fa	12,radiko
ĉefo	főnök	12,radiko
vojo	út	12,radiko
ekster	kívül (hely)	12,prepozicio
sovaĝa	vad	12,radiko
bruo	zaj	12,radiko
krom	kívül	12,prepozicio
tuŝi	érint	12,radiko
naturo	természet	12,radiko
ĝenerali	általános	12,radiko
seki	száraz	12,radiko
paŝi	lép	12,radiko
vivi	él	12,radiko
dolori	fájdalom	12,radiko
agrabla	kellemes	12,radiko
ju	minél inkább	12,partikulo
kastelo	kastély	12,radiko
des	annál inkább	12,partikulo
Adriano	Adrián	12,nomo
