Marko	Marc	1,nomo
raporti	rapporter	8,radiko
noto	note	8,radiko
aĉ	indique un aspect négatif	8,sufikso
kapo	tête	8,radiko
kiom	combien	8,tabelvorto
da	de	8,prepozicio
ĉe	chez	8,prepozicio
ludi	jouer	8,radiko
mem	même	8,partikulo
tiom	de cette quantité	8,tabelvorto
kvankam	bien que	8,konjunkcio
tiam	à ce moment	8,tabelvorto
aŭdi	entendre	8,radiko
vorto	mot	8,radiko
tuj	immédiatement	8,adverbo
respondi	répondre	8,radiko
kara	cher	8,radiko
problemo	problème	8,radiko
pri	au sujet de, concernant	8,prepozicio
muziko	musique	8,radiko
ridi	rire	8,radiko
tamen	cependant	8,adverbo
Petro	Pierre	9,nomo
Maria	Marie	9,nomo
vojaĝi	voyage	9,radiko
lando	pays	9,radiko
libera	libre	9,radiko
tempo	temps	9,radiko
decidi	décider	9,radiko
italio	Italie	9,radiko
urbo	ville	9,radiko
feliĉa	heureux	9,radiko
kie	où	9,tabelvorto
forgesi	oublier	9,radiko
esperi	espérer	9,radiko
us	Verbe au conditionnel	9,finaĵo
komenci	commencer	9,radiko
jam	déjà	9,adverbo
vagono	wagon	9,radiko
ar	groupe, ensemble	9,sufikso
nenio	rien	9,tabelvorto
sekreto	secret	9,radiko
onklo	oncle	9,radiko
Bonifacio	Boniface	9,nomo
plena	plein	9,radiko
um	signification indéfinie	9,sufikso
sia	pronom réfléchi	9,radiko
uzi	utiliser	9,radiko
domo	maison	9,radiko
ad	action continue	9,sufikso
atendi	attendre	9,radiko
do	donc	9,adverbo
kial	pourquoi	9,tabelvorto
neniam	jamais	9,tabelvorto
kiel	comment	10,tabelvorto
pasi	passer	10,radiko
naski	donner naissance	10,radiko
kelka	quelques	10,radiko
familio	famille	10,radiko
an	membre d'un groupe	10,sufikso
iom	un peu	10,tabelvorto
trovi	trouver	10,radiko
almenaŭ	au moins	10,adverbo
ordo	commander	10,radiko
io	quelque chose	10,tabelvorto
manki	manquer	10,radiko
lakto	lait	10,radiko
necesa	avoir besoin	10,radiko
anstataŭ	à la place de	10,prepozicio
intereso	intéresser	10,radiko
ekskurso	excursion	10,radiko
klubo	club	10,radiko
ĵeti	jeter	10,radiko
ia	une sorte de	10,tabelvorto
uj	contenant, pays	10,sufikso
ĝusta	juste	10,radiko
for	éloignement, disparition	10,prefikso
inter	entre, parmi	10,prepozicio
sama	même	10,radiko
fojo	fois	10,radiko
rajti	avoir le droit de	10,radiko
proponi	proposer	10,radiko
du	deux	10,cifero
parto	partir	10,radiko
sukceso	succès	10,radiko
iu	quelqu'un	10,tabelvorto
ideo		10,novaj
tro	trop	10,adverbo
ec	qualité abstraite	10,sufikso
reala	réél	10,radiko
silento	silence	10,radiko
daŭri	continuer	10,radiko
nu	euh	10,interjekcio
minuto	minute	10,radiko
telefono	téléphone	10,radiko
viziti	visiter	10,radiko
dolĉa	doux	10,radiko
atenti	prêter attention	10,radiko
dika	gros	10,radiko
ŝanĝi	changer	10,radiko
opinii	opinion	10,radiko
sen	sans	10,prepozicio
sola	seul	10,radiko
Veneci	Venise	11,radiko
Sankt-Mark	Saint-Marc	11,nomo
placo	place	11,radiko
milito	guerre	11,radiko
maro	mer	11,radiko
ŝipo	navire, bateau	11,radiko
gondolo	gondole	11,radiko
movi	bouger	11,radiko
mezo	milieu	11,radiko
proksima	à côté	11,radiko
granda	grand	11,radiko
oni	on	11,pronomo
facila	facile	11,radiko
lumo	lumière	11,radiko
flanko	côté	11,radiko
Stefan	Stéphane	11,nomo
krii	crier	11,radiko
turko	turc	11,radiko
renkonti	rencontrer	11,radiko
sekvi	suivre	11,radiko
Pietro	Pietro	11,nomo
koni	connaître	11,radiko
akvo	eau	11,radiko
tiel	ainsi	11,tabelvorto
Ĝorĝo	Georges	11,nomo
preni	prendre	11,radiko
estro	chef, principal	11,sufikso
preskaŭ	presque	11,adverbo
morti	mourir	11,radiko
grava	important	11,radiko
Ĝino	Gino	11,nomo
halti	s'arrêter	11,radiko
apud	à côté de	11,prepozicio
dek	dix	11,cifero
jaro	année	11,radiko
koloro	couleur	11,radiko
Jakopo	Jaques	11,nomo
tial	pour cette raison	11,tabelvorto
timi	crainte	11,radiko
sendi	envoyer	11,radiko
doĝo	doge	11,radiko
bezoni	avoir besoin	11,radiko
pagi	payer	11,radiko
er	fragment, petite pièce, particule	11,sufikso
afero	affaire	11,radiko
se	si	11,konjunkcio
pano	pain	11,radiko
Don Kamilo	Don Camillus	11,nomo
ĝis	jusqu'à	11,prepozicio
S-ro	Monsieur – M.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	lourd	12,radiko
larĝa	large	12,radiko
korpo	corps	12,radiko
aspekto	aspect	12,radiko
rolo	rôle	12,radiko
fakto	fait	12,radiko
respekti	respecter	12,radiko
kontenta	content	12,radiko
ofte	souvent	12,radiko
utila	utile	12,radiko
prezenti	présenter	12,radiko
ĝeni	gêner	12,radiko
nokto	nuit	12,radiko
arbo	arbre	12,radiko
ĉefo	chef	12,radiko
vojo	voie	12,radiko
ekster	hors de	12,prepozicio
sovaĝa	sauvage	12,radiko
bruo	bruit	12,radiko
krom	outre, à part	12,prepozicio
tuŝi	toucher	12,radiko
naturo	nature	12,radiko
ĝenerali	géneral	12,radiko
seki	sec	12,radiko
paŝi	pas	12,radiko
vivi	vivre	12,radiko
dolori	douleur	12,radiko
agrabla	agréable	12,radiko
ju	plus (plus…, plus…), moins (plus…, moins…)	12,partikulo
kastelo	château	12,radiko
des	plus (plus…, plus…), moins (plus…, moins…)	12,partikulo
Adriano	Adrian	12,nomo
viro	homme	12,radiko
kapabla	capable	12,radiko
industrio	industrie	12,radiko
polico	police	12,radiko
persono	personne	12,radiko
simila	identique	12,radiko
lasta	dernier	12,radiko
laŭta	fort	12,radiko
orelo	oreille	12,radiko
momento	moment	12,radiko
ambaŭ	les deux	12,adverbo
direkti	direction	12,radiko
zorgi	souci	12,radiko
situacio	situation	12,radiko
branĉo	branche	12,radiko
rekta	directe	12,radiko
besto	animal	12,radiko
promeni	se promener	12,radiko
kavo	cave	12,radiko
odoro	sentir	12,radiko
preta	prêt	12,radiko
ajn	n'importe quel	12,partikulo
efektiva	effectivement	12,radiko
miri	s'étonner	12,radiko
koro	coeur	12,radiko
ŝajni	sembler	12,radiko
supri	au dessus	12,radiko
buŝo	bouche	12,radiko
provi	essayer	12,radiko
kapti	attraper	12,radiko
lampo	lampe	12,radiko
paco	paix	12,radiko
formo	forme	12,radiko
teni	tenir	12,radiko
sono	son	12,radiko
aŭtoritato	autorité	12,radiko
nuuuu	m'enfin	12,interjekcio
eee	eh	12,interjekcio
fuŝi	gâcher	12,radiko
klara	clair	12,radiko
eĉ	même	12,adverbo
tono	ton	12,radiko
ha	ha	12,interjekcio
bieno	propriété	12,radiko
grafo	comte	12,radiko
monto	montagne	12,radiko
kalva	bientôt	12,radiko
inviti	inviter	12,radiko
peti	demander	12,radiko
teroro	terreur	12,radiko
kontroli	vérifier	12,radiko
ĉirkaŭ	autour de	12,prepozicio
akcepti	accepter	12,radiko
perdi	perdre	12,radiko
