Marko	מרקו	1,nomo
hodiaŭ	היום	7,adverbo
meti	לשים	7,radiko
aĵ	דבר, עצם מוחשי	7,sufikso
kuri	לרוץ	7,radiko
laŭ	לפי, לאורך	7,prepozicio
homo	אדם	7,radiko
kia	איזה סוג	7,tabelvorto
saĝa	חכם	7,radiko
knabo	נער	7,radiko
baldaŭ	עוד מעט	7,adverbo
it	סיומת עבר סביל	7,participo
nek	וגם לא	7,konjunkcio
pensi	לחשוב	7,radiko
diablo	שטן	7,radiko
memori	לזכור	7,radiko
dimanĉo	יום ראשון	7,radiko
raporti	דיווח	8,radiko
noto	פתק, ציון	8,radiko
aĉ	מגעיל, דוחה	8,sufikso
kapo	ראש	8,radiko
kiom	כמה	8,tabelvorto
da	של	8,prepozicio
ĉe	אצל	8,prepozicio
ludi	לשחק, לנגן	8,radiko
mem	עצמו	8,partikulo
tiom	בכמות כזו	8,tabelvorto
kvankam	אף על פי כן	8,konjunkcio
tiam	אז	8,tabelvorto
aŭdi	שלמוע	8,radiko
vorto	מלה	8,radiko
tuj	מיד	8,adverbo
respondi	לענות	8,radiko
kara	יקר	8,radiko
problemo	בעיה	8,radiko
pri	על, בקשר, בנושא	8,prepozicio
muziko	מוזיקה	8,radiko
ridi	לצחוק	8,radiko
tamen	בכל זאת	8,adverbo
Petro	פטרו	9,nomo
Maria	מריה	9,nomo
vojaĝi	מסע	9,radiko
lando	ארץ	9,radiko
libera	חופש	9,radiko
tempo	זמן	9,radiko
decidi	להחליט	9,radiko
italio	איטליה	9,radiko
urbo	עיר	9,radiko
feliĉa	מאושר	9,radiko
kie	היכן	9,tabelvorto
forgesi	לשכוח	9,radiko
esperi	תקווה	9,radiko
us	סיומת למצב תנאי	9,finaĵo
komenci	להתחיל	9,radiko
jam	כבר	9,adverbo
vagono	קרון	9,radiko
ar	קבוצה, אוסף	9,sufikso
nenio	שום דבר	9,tabelvorto
sekreto	סוד	9,radiko
onklo	דוד	9,radiko
Bonifacio	בוניפציו	9,nomo
