Marko	Марк	1,nomo
kapo	бас	8,radiko
kiom	how much	8,tabelvorto
da	of	8,prepozicio
ĉe	at	8,prepozicio
ludi	to play	8,radiko
mem	self	8,partikulo
tiom	that much	8,tabelvorto
kvankam	although	8,konjunkcio
tiam	then	8,tabelvorto
aŭdi	to hear	8,radiko
vorto	сөз	8,radiko
tuj	тез	8,adverbo
respondi	to answer	8,radiko
kara	қымбат	8,radiko
problemo	problem	8,radiko
pri	about, concerning	8,prepozicio
muziko	music	8,radiko
ridi	to laugh	8,radiko
tamen	бірақ	8,adverbo
Petro	Петр	9,nomo
Maria	Мария	9,nomo
vojaĝi	сапар	9,radiko
lando	land	9,radiko
libera	free	9,radiko
tempo	уақыт	9,radiko
decidi	to decide	9,radiko
italio	Италия	9,radiko
urbo	қала	9,radiko
feliĉa	бақыт	9,radiko
kie	where	9,tabelvorto
forgesi	to forget	9,radiko
esperi	to hope	9,radiko
us	Verb in conditional tense	9,finaĵo
komenci	to begin	9,radiko
jam	әлдеқашан; енді; де	9,adverbo
vagono	coach	9,radiko
ar	group, collection	9,sufikso
nenio	nothing	9,tabelvorto
sekreto	құпия	9,radiko
onklo	ағай	9,radiko
Bonifacio	Бонифаций	9,nomo
plena	full	9,radiko
um	indefinite meaning	9,sufikso
sia	reflexive pronoun	9,radiko
uzi	to use	9,radiko
domo	house	9,radiko
ad	continuous action	9,sufikso
atendi	to wait	9,radiko
do	so	9,adverbo
kial	why	9,tabelvorto
neniam	never, no time	9,tabelvorto
kiel	how	10,tabelvorto
pasi	to pass	10,radiko
naski	to give birth	10,radiko
kelka	some	10,radiko
familio	family	10,radiko
an	member of a group	10,sufikso
iom	to some extent, a certain amount	10,tabelvorto
trovi	to find	10,radiko
almenaŭ	at least	10,adverbo
ordo	to order	10,radiko
io	something	10,tabelvorto
manki	be lacking	10,radiko
lakto	milk	10,radiko
necesa	to need	10,radiko
anstataŭ	instead of	10,prepozicio
intereso	to interest	10,radiko
ekskurso	excursion	10,radiko
klubo	клуб	10,radiko
ĵeti	to throw	10,radiko
ia	some kind of	10,tabelvorto
uj	container, tree, country	10,sufikso
ĝusta	to correct	10,radiko
for	away, off	10,prefikso
inter	between, among	10,prepozicio
sama	same	10,radiko
fojo	time, occasion	10,radiko
rajti	to be allowed to	10,radiko
proponi	to propose	10,radiko
du	екі	10,cifero
parto	part	10,radiko
sukceso	табыс	10,radiko
iu	someone	10,tabelvorto
ideo		10,novaj
tro	too, too much	10,adverbo
ec	abstract quality	10,sufikso
reala	real	10,radiko
silento	silent	10,radiko
daŭri	to continue	10,radiko
nu	na	10,interjekcio
minuto	minute	10,radiko
telefono	phone	10,radiko
viziti	to visit	10,radiko
dolĉa	sweet	10,radiko
atenti	pay attention	10,radiko
dika	thick, fat	10,radiko
ŝanĝi	to change	10,radiko
opinii	opinion	10,radiko
sen	without	10,prepozicio
sola	alone	10,radiko
Veneci	Венеция	11,radiko
Sankt-Mark	Әулие Марк	11,nomo
placo	place	11,radiko
milito	соғыс	11,radiko
maro	теңіз	11,radiko
ŝipo	кеме	11,radiko
gondolo	гондола	11,radiko
movi	to move	11,radiko
mezo	middle	11,radiko
proksima	near	11,radiko
granda	big, great	11,radiko
oni	one (indefinite pronoun)	11,pronomo
facila	easy	11,radiko
lumo	light	11,radiko
flanko	side	11,radiko
Stefan	Стефан	11,nomo
krii	to scream	11,radiko
turko	Turkish	11,radiko
renkonti	to meet	11,radiko
sekvi	to follow	11,radiko
Pietro	Пьетро	11,nomo
koni	to know	11,radiko
akvo	water	11,radiko
tiel	like that, thus	11,tabelvorto
Ĝorĝo	Джордж	11,nomo
preni	to take	11,radiko
estro	chief, head	11,sufikso
preskaŭ	дерлік; жуық; қасы	11,adverbo
morti	to die	11,radiko
grava	important	11,radiko
Ĝino	Джино	11,nomo
halti	тоқтату; доғару	11,radiko
apud	next to	11,prepozicio
dek	он	11,cifero
jaro	жыл	11,radiko
koloro	түс	11,radiko
Jakopo	Якоб	11,nomo
tial	for that reason	11,tabelvorto
timi	fear	11,radiko
sendi	to send	11,radiko
doĝo	doge	11,radiko
bezoni	to need	11,radiko
pagi	to pay	11,radiko
er	fragment, small piece, particle	11,sufikso
afero	matter	11,radiko
se	if	11,konjunkcio
pano	bread	11,radiko
Don Kamilo	Дон Камил	11,nomo
ĝis	until	11,prepozicio
S-ro	Mister - Mr.	12,mallongigo
Pipelbom	Пипелбом	12,nomo
peza	heavy	12,radiko
larĝa	wide	12,radiko
korpo	дене; тән	12,radiko
aspekto	look, seem	12,radiko
rolo	рөл	12,radiko
fakto	fact	12,radiko
respekti	to respect	12,radiko
kontenta	satisfied	12,radiko
ofte	often	12,radiko
utila	useful	12,radiko
prezenti	to present	12,radiko
ĝeni	to distrub, to bother	12,radiko
nokto	түн	12,radiko
arbo	ағаш	12,radiko
ĉefo	boss	12,radiko
vojo	жол	12,radiko
ekster	outside of	12,prepozicio
sovaĝa	wild	12,radiko
bruo	noise	12,radiko
krom	besides, in addition to	12,prepozicio
tuŝi	to touch	12,radiko
naturo	nature	12,radiko
ĝenerali	general	12,radiko
seki	dry	12,radiko
paŝi	step	12,radiko
vivi	to live	12,radiko
dolori	pain, to hurt	12,radiko
agrabla	pleasant	12,radiko
ju	the (more, less)	12,partikulo
kastelo	castle	12,radiko
des	the (more, less)	12,partikulo
Adriano	Адриан	12,nomo
viro	man	12,radiko
kapabla	capable	12,radiko
industrio	industry	12,radiko
polico	police	12,radiko
persono	person	12,radiko
simila	similar	12,radiko
lasta	last	12,radiko
laŭta	loud	12,radiko
orelo	құлақ	12,radiko
momento	moment	12,radiko
ambaŭ	екеу, қос	12,adverbo
direkti	direction	12,radiko
zorgi	care	12,radiko
situacio	sitation	12,radiko
branĉo	branch	12,radiko
rekta	direct	12,radiko
besto	animal	12,radiko
promeni	to stroll	12,radiko
kavo	cave	12,radiko
odoro	smell	12,radiko
preta	ready	12,radiko
ajn	any, at all, -ever	12,partikulo
efektiva	actually	12,radiko
miri	to wonder	12,radiko
koro	жүрек	12,radiko
ŝajni	seem	12,radiko
supri	above	12,radiko
buŝo	ауыз	12,radiko
provi	to try	12,radiko
kapti	to catch	12,radiko
lampo	lamp	12,radiko
paco	peace	12,radiko
formo	form	12,radiko
teni	hold	12,radiko
sono	to sound	12,radiko
aŭtoritato	authority	12,radiko
nuuuu	nuuuu	12,interjekcio
eee	eee	12,interjekcio
fuŝi	to mess up	12,radiko
klara	clear	12,radiko
eĉ	да; де; екеш; тұрмақ; түгіл; тіпті	12,adverbo
tono	tone	12,radiko
ha	ha	12,interjekcio
bieno	estate, land	12,radiko
grafo	count, earl	12,radiko
monto	тау	12,radiko
kalva	bald	12,radiko
inviti	to invite	12,radiko
peti	to request	12,radiko
teroro	terror	12,radiko
kontroli	to check	12,radiko
ĉirkaŭ	around	12,prepozicio
akcepti	accept	12,radiko
perdi	to loose	12,radiko
