Marko	Marek	1,nomo
subita	náhly	7,radiko
ek	začiatok akcie, náhlosť	7,prefikso
salti	skákať	7,radiko
ĉiam	vždy	7,tabelvorto
frua	včas, skoro	7,radiko
hodiaŭ	dnes	7,adverbo
meti	položiť	7,radiko
aĵ	vec, predmet, konkrétna záležitosť	7,sufikso
kuri	bežať	7,radiko
laŭ	podľa, pozdĺž	7,prepozicio
homo	človek	7,radiko
kia	aký	7,tabelvorto
saĝa	múdry	7,radiko
knabo	chlapec	7,radiko
baldaŭ	čoskoro	7,adverbo
it	príčastie trpné minulé	7,participo
nek	ani	7,konjunkcio
pensi	myslieť	7,radiko
diablo	diabol	7,radiko
memori	pamätať	7,radiko
dimanĉo	nedeľa	7,radiko
raporti	správa	8,radiko
noto	známka (na vysvedčení), poznámka, nota, nóta	8,radiko
aĉ	zhoršená kvalita	8,sufikso
kapo	hlava	8,radiko
kiom	koľko	8,tabelvorto
da	(predložka množstva)	8,prepozicio
ĉe	u, pri	8,prepozicio
ludi	hrať	8,radiko
mem	sám, osobne	8,partikulo
tiom	toľko	8,tabelvorto
kvankam	hoci	8,konjunkcio
tiam	vtedy	8,tabelvorto
aŭdi	počuť	8,radiko
vorto	slovo	8,radiko
tuj	okamžite, hneď, ihneď	8,adverbo
respondi	odpovedať	8,radiko
kara	drahý (milý)	8,radiko
problemo	problém	8,radiko
pri	o	8,prepozicio
muziko	hudba	8,radiko
ridi	smiať sa	8,radiko
tamen	avšak, predsa	8,adverbo
Petro	Peter	9,nomo
Maria	Mária	9,nomo
vojaĝi	cestovať, cestovanie	9,radiko
lando	krajina, štát	9,radiko
libera	voľný	9,radiko
tempo	čas	9,radiko
decidi	rozhodnúť	9,radiko
Italio	Taliansko	9,radiko
urbo	mesto	9,radiko
feliĉa	šťastie	9,radiko
kie	kde	9,tabelvorto
forgesi	zabudnúť	9,radiko
esperi	dúfať	9,radiko
us	koncovka pre podmieňovací spôsob	9,finaĵo
komenci	začať	9,radiko
jam	už	9,adverbo
vagono	vagón, vozeň	9,radiko
ar	vyšší celok	9,sufikso
nenio	nič	9,tabelvorto
sekreto	tajomstvo	9,radiko
onklo	strýko	9,radiko
Bonifacio	Bonifác	9,nomo
plena	plný	9,radiko
um	prípona neurčitého významu	9,sufikso
sia	zvratné zámeno	9,radiko
uzi	použiť	9,radiko
domo	dom	9,radiko
ad	trvanie deja	9,sufikso
atendi	čakať	9,radiko
do	teda	9,adverbo
kial	prečo	9,tabelvorto
neniam	nikdy	9,tabelvorto
kiel	ako	10,tabelvorto
pasi	prebiehať, uplynúť	10,radiko
naski	rodiť	10,radiko
kelka	niektorý, nejaký, trocha	10,radiko
familio	rodina	10,radiko
an	člen skupiny	10,sufikso
iom	trochu	10,tabelvorto
trovi	nájsť	10,radiko
almenaŭ	aspoň	10,adverbo
ordo	riadny, radový	10,radiko
io	niečo, čosi	10,tabelvorto
manki	chýbať	10,radiko
lakto	mlieko	10,radiko
necesa	potrebovať	10,radiko
anstataŭ	namiesto	10,prepozicio
intereso	zaujímať sa	10,radiko
ekskurso	výlet	10,radiko
klubo	klub	10,radiko
ĵeti	hodiť	10,radiko
ia	nejaký, akýsi	10,tabelvorto
uj	nádoba, puzdro, štát	10,sufikso
ĝusta	správny	10,radiko
for	preč	10,prefikso
inter	medzi	10,prepozicio
sama	rovnaký	10,radiko
fojo	-krát	10,radiko
rajti	smieť, mať právo	10,radiko
proponi	ponuka	10,radiko
du	dva	10,cifero
parto	časť	10,radiko
sukceso	úspech	10,radiko
iu	niekto, ktosi	10,tabelvorto
ideo	myšlienka, nápad	10,novaj
tro	príliš	10,adverbo
ec	vlastnosť	10,sufikso
reala	skutočný	10,radiko
silento	ticho	10,radiko
daŭri	pokračovať	10,radiko
nu	na	10,interjekcio
minuto	minúta	10,radiko
telefono	telefón	10,radiko
viziti	návšteva	10,radiko
dolĉa	sladký	10,radiko
atenti	dávať pozor	10,radiko
dika	tlstý	10,radiko
ŝanĝi	meniť	10,radiko
opinii	názor	10,radiko
sen	bez, bezo	10,prepozicio
