saĝa	vis	7,radiko
knabo	dreng	7,radiko
baldaŭ	snart	7,adverbo
it	datid passiv	7,participo
nek	hverken (… eller)	7,konjunkcio
pensi	tænke	7,radiko
diablo	djævel	7,radiko
memori	huske	7,radiko
dimanĉo	søndag	7,radiko
raporti	anmelde	8,radiko
noto	note	8,radiko
aĉ	ubehagelig, dårlig, ringe	8,sufikso
kapo	hoved	8,radiko
kiom	hvor meget	8,tabelvorto
da	af	8,prepozicio
ĉe	ved, hos	8,prepozicio
ludi	lege	8,radiko
mem	selv	8,partikulo
tiom	så meget	8,tabelvorto
kvankam	selvom	8,konjunkcio
tiam	på det tidspunkt	8,tabelvorto
aŭdi	høre	8,radiko
vorto	ord	8,radiko
tuj	med det samme	8,adverbo
respondi	besvare	8,radiko
kara	kære	8,radiko
problemo	problem	8,radiko
pri	om, vedrørende	8,prepozicio
muziko	musik	8,radiko
ridi	grine	8,radiko
tamen	men, dog, imidlertid	8,adverbo
Petro	Petro	9,nomo
Maria	Maria	9,nomo
vojaĝi	rejse	9,radiko
lando	land	9,radiko
libera	gratis	9,radiko
tempo	tid	9,radiko
decidi	bestemme, tage beslutning, afgøre	9,radiko
italio	Italien	9,radiko
urbo	by	9,radiko
feliĉa	lykkelig	9,radiko
kie	hvor	9,tabelvorto
forgesi	glemme	9,radiko
esperi	håbe	9,radiko
us	Verbum konditional / Betinget udsagnsord	9,finaĵo
komenci	begynde	9,radiko
jam	allerede	9,adverbo
vagono	vogn	9,radiko
ar	gruppe, samling, sæt	9,sufikso
nenio	intet	9,tabelvorto
sekreto	hemmelighed	9,radiko
onklo	onkel	9,radiko
Bonifacio	Bonifacio	9,nomo
plena	fuld	9,radiko
um	ubestemt betydning	9,sufikso
sia	sig	9,radiko
uzi	bruge	9,radiko
domo	hus	9,radiko
ad	fortsat handling	9,sufikso
atendi	vente, forvente	9,radiko
do	så	9,adverbo
kial	hvorfor	9,tabelvorto
neniam	aldrig	9,tabelvorto
kiel	hvordan	10,tabelvorto
pasi	lade	10,radiko
naski	føde	10,radiko
kelka	smule, nogen	10,radiko
familio	familie	10,radiko
an	medlem af en gruppe	10,sufikso
iom	en hvis mængde	10,tabelvorto
trovi	finde	10,radiko
almenaŭ	i det mindste	10,adverbo
ordo	bestille	10,radiko
io	noget	10,tabelvorto
manki	mangle	10,radiko
lakto	mælk	10,radiko
necesa	behøve, have brug for	10,radiko
anstataŭ	i stedet for	10,prepozicio
intereso	interessere	10,radiko
ekskurso	ekskursion	10,radiko
klubo	klub	10,radiko
ĵeti	kaste	10,radiko
ia	en slags	10,tabelvorto
uj	beholder, træ, land	10,sufikso
ĝusta	korrekt	10,radiko
for	væk, fra	10,prefikso
inter	mellem, blandt	10,prepozicio
sama	samme	10,radiko
fojo	gang, tilfælde	10,radiko
rajti	måtte	10,radiko
proponi	foreslå	10,radiko
du	to	10,cifero
parto	part, del	10,radiko
sukceso	succes	10,radiko
iu	nogen	10,tabelvorto
ideo	idé, ide	10,novaj
tro	for, for meget	10,adverbo
ec	abstrakt kvalitet	10,sufikso
reala	rigtig	10,radiko
silento	stille	10,radiko
daŭri	fortsætte	10,radiko
nu	altså	10,interjekcio
minuto	minut	10,radiko
telefono	telefon	10,radiko
viziti	besøge	10,radiko
dolĉa	sød	10,radiko
atenti	være opmærksom	10,radiko
dika	tyk, fed	10,radiko
ŝanĝi	ændre	10,radiko
opinii	holdning	10,radiko
sen	uden	10,prepozicio
sola	alene	10,radiko
Veneci	Venedig	11,radiko
Sankt-Mark	Johannes Markus	11,nomo
placo	plads	11,radiko
milito	krig	11,radiko
maro	hav	11,radiko
ŝipo	skib	11,radiko
gondolo	gondol	11,radiko
movi	bevæge, flytte	11,radiko
mezo	midte	11,radiko
proksima	nær	11,radiko
granda	stor	11,radiko
oni	man	11,pronomo
facila	nem	11,radiko
lumo	let	11,radiko
flanko	side	11,radiko
Stefan	Stephen	11,nomo
krii	skrige	11,radiko
turko	tyrkisk	11,radiko
renkonti	møde	11,radiko
sekvi	følge	11,radiko
Pietro	Pietro	11,nomo
koni	kende	11,radiko
akvo	vand	11,radiko
tiel	sådan	11,tabelvorto
Ĝorĝo	Georg	11,nomo
preni	tage	11,radiko
estro	chef, leder	11,sufikso
preskaŭ	næsten	11,adverbo
morti	dø	11,radiko
grava	vigtig	11,radiko
Ĝino	Ĝino	11,nomo
halti	stoppe	11,radiko
apud	ved siden af	11,prepozicio
dek	ti	11,cifero
jaro	år	11,radiko
koloro	farve	11,radiko
Jakopo	Jacob	11,nomo
tial	derfor	11,tabelvorto
timi	frygt	11,radiko
sendi	sende	11,radiko
doĝo	doge	11,radiko
bezoni	behøve, have brug for	11,radiko
pagi	betale	11,radiko
er	fragment, del af homogen helhed, partikel	11,sufikso
afero	ting	11,radiko
se	hvis	11,konjunkcio
pano	brød	11,radiko
Don Kamilo	Don Camillus	11,nomo
ĝis	indtil	11,prepozicio
S-ro	Hr	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	tung	12,radiko
larĝa	bred	12,radiko
korpo	krop	12,radiko
aspekto	se ud som, virke	12,radiko
rolo	rolle	12,radiko
fakto	faktum	12,radiko
respekti	respektere	12,radiko
kontenta	tilfreds	12,radiko
ofte	ofte	12,radiko
utila	brugbar	12,radiko
prezenti	præsentere	12,radiko
ĝeni	forstyrre, irritere	12,radiko
nokto	nat	12,radiko
arbo	træ	12,radiko
ĉefo	chef	12,radiko
vojo	vej	12,radiko
ekster	undenfor	12,prepozicio
sovaĝa	vild	12,radiko
bruo	støj	12,radiko
krom	i øvrigt, bortset, undtagen	12,prepozicio
tuŝi	røre	12,radiko
naturo	natur	12,radiko
ĝenerali	generelt	12,radiko
seki	tør	12,radiko
paŝi	skridt	12,radiko
vivi	leve	12,radiko
dolori	smerte, skade	12,radiko
agrabla	behagelig	12,radiko
ju	jo (flere, mere, mindre)	12,partikulo
kastelo	slot	12,radiko
des	des (flere, mere, mindre)	12,partikulo
Adriano	Adriano	12,nomo
viro	mand	12,radiko
kapabla	i stand til, egnet	12,radiko
industrio	industri	12,radiko
polico	politi	12,radiko
persono	person	12,radiko
simila	lignende	12,radiko
lasta	sidste	12,radiko
laŭta	højlydt	12,radiko
orelo	øre	12,radiko
momento	øjeblik	12,radiko
ambaŭ	begge	12,adverbo
direkti	retning	12,radiko
zorgi	tage sig af	12,radiko
situacio	situation	12,radiko
