Marko	Marcos	1,nomo
laŭ	de acordo, ao alongo	7,prepozicio
homo	humano, ser humano	7,radiko
kia	de que tipo	7,tabelvorto
saĝa	sensato, sensata	7,radiko
knabo	garoto, menino	7,radiko
baldaŭ	em breve	7,adverbo
it	passivo no passado	7,participo
nek	nem	7,konjunkcio
pensi	pensar, pensamento	7,radiko
diablo	diabo, diabólico, diabólica	7,radiko
memori	lembrar, memória	7,radiko
dimanĉo	domingo	7,radiko
raporti	relatório, relatar	8,radiko
noto	nota, anotar	8,radiko
aĉ	indica qualidade ruim	8,sufikso
kapo	cabeça	8,radiko
kiom	quanto	8,tabelvorto
da	de (quantidade)	8,prepozicio
ĉe	em, junto de	8,prepozicio
ludi	jogar, brincar, tocar, representar	8,radiko
mem	mesmo	8,partikulo
tiom	tanto, tão	8,tabelvorto
kvankam	embora	8,konjunkcio
tiam	nesse momento	8,tabelvorto
aŭdi	ouvir	8,radiko
vorto	palavra	8,radiko
tuj	imediatamente	8,adverbo
respondi	responder, resposta	8,radiko
kara	caro, cara	8,radiko
problemo	problema	8,radiko
pri	sobre	8,prepozicio
muziko	música, tocar música	8,radiko
ridi	rir	8,radiko
tamen	porém	8,adverbo
Petro	Pedro	9,nomo
Maria	Maria	9,nomo
vojaĝi	viagem, viajar	9,radiko
lando	terra	9,radiko
libera	livre, liberdade	9,radiko
tempo	tempo	9,radiko
decidi	decidir	9,radiko
italio	Itália	9,radiko
urbo	cidade	9,radiko
feliĉa	feliz	9,radiko
kie	onde	9,tabelvorto
forgesi	esquecer	9,radiko
esperi	ter esperança	9,radiko
us	Condicional	9,finaĵo
komenci	começar, começo	9,radiko
jam	já	9,adverbo
vagono	vagão	9,radiko
ar	grupo, coleção	9,sufikso
nenio	nada	9,tabelvorto
sekreto	segredo, secreto, secreta	9,radiko
onklo	tio	9,radiko
Bonifacio	Bonifácio	9,nomo
plena	cheio, cheia	9,radiko
um	significado indefinido	9,sufikso
sia	se (reflexivo)	9,radiko
uzi	usar	9,radiko
domo	casa	9,radiko
ad	ação contínua	9,sufikso
atendi	esperar	9,radiko
do	então	9,adverbo
kial	por que	9,tabelvorto
neniam	never, no time	9,tabelvorto
kiel	como	10,tabelvorto
pasi	passar	10,radiko
naski	dar à luz, parir	10,radiko
kelka	alguns, algumas	10,radiko
familio	família	10,radiko
an	membro de um grupo	10,sufikso
iom	até certo ponto, certa quantidade	10,tabelvorto
trovi	encontrar	10,radiko
almenaŭ	ao menos	10,adverbo
ordo	ordem	10,radiko
io	algo	10,tabelvorto
manki	faltar	10,radiko
lakto	leite	10,radiko
necesa	precisar	10,radiko
anstataŭ	ao invés, em vez	10,prepozicio
intereso	interessar, interessante	10,radiko
ekskurso	excursão, excursionar	10,radiko
klubo	clube	10,radiko
ĵeti	arremessar	10,radiko
ia	de algum tipo	10,tabelvorto
uj	recipiente, árvore de, país	10,sufikso
ĝusta	correto	10,radiko
for	longe, fora	10,prefikso
inter	entre	10,prepozicio
sama	mesmo, mesma	10,radiko
fojo	ocasião, vez	10,radiko
rajti	direito, ter direito de	10,radiko
proponi	propor, proposta	10,radiko
du	dois	10,cifero
parto	parte	10,radiko
sukceso	sucesso, conseguir	10,radiko
iu	alguém	10,tabelvorto
ideo	ideia	10,novaj
tro	demais	10,adverbo
ec	qualidade abstrata	10,sufikso
reala	real	10,radiko
silento	silencioso, silenciosa, fazer silêncio	10,radiko
daŭri	continuar, durar	10,radiko
nu	hã	10,interjekcio
minuto	minuto	10,radiko
telefono	telefone, telefonar	10,radiko
viziti	visitar, visita	10,radiko
dolĉa	doce	10,radiko
atenti	prestar atenção	10,radiko
dika	gordo, grosso	10,radiko
ŝanĝi	mudar, mudança	10,radiko
opinii	opinião, opinar	10,radiko
sen	sem	10,prepozicio
sola	sozinho, sozinha	10,radiko
veneci	Veneza	11,radiko
Sankt-Mark	São Marcos	11,nomo
placo	praça	11,radiko
milito	guerra, guerrear	11,radiko
maro	mar	11,radiko
ŝipo	navio	11,radiko
gondolo	gôndola	11,radiko
movi	mover, movimento	11,radiko
mezo	meio	11,radiko
proksima	perto	11,radiko
granda	grande	11,radiko
oni	se (pronome indefinido)	11,pronomo
facila	fácil	11,radiko
lumo	luz, iluminar	11,radiko
flanko	lado	11,radiko
Stefan	Estevão	11,nomo
krii	gritar	11,radiko
turko	turco	11,radiko
renkonti	encontrar	11,radiko
sekvi	seguir	11,radiko
Pietro	Pietro	11,nomo
koni	saber, conhecer	11,radiko
akvo	água	11,radiko
tiel	assim	11,tabelvorto
Ĝorĝo	Jorge	11,nomo
preni	pegar	11,radiko
estro	chefe, líder	11,sufikso
preskaŭ	quase	11,adverbo
morti	morrer, morte	11,radiko
grava	importante	11,radiko
Ĝino	Gino	11,nomo
halti	parar	11,radiko
apud	ao lado de	11,prepozicio
dek	dez	11,cifero
jaro	ano, anual	11,radiko
koloro	cor, colorido, colorida	11,radiko
Jakopo	Jacó	11,nomo
tial	por essa razão	11,tabelvorto
timi	medo, ter medo	11,radiko
sendi	enviar	11,radiko
doĝo	doge	11,radiko
bezoni	precisar	11,radiko
pagi	pagar, pagamento	11,radiko
er	fragmento, pequeno pedaço	11,sufikso
afero	assunto, coisa	11,radiko
se	se	11,konjunkcio
pano	pão	11,radiko
Don Kamilo	Dom Camilo	11,nomo
ĝis	até	11,prepozicio
S-ro	Sr.	12,mallongigo
Pipelbom	Pipelbom	12,nomo
peza	pesado, ter peso	12,radiko
larĝa	largo	12,radiko
korpo	corpo	12,radiko
aspekto	aspecto, aparentar	12,radiko
rolo	função, desempenhar papel de	12,radiko
fakto	fato	12,radiko
respekti	respeitar, respeito	12,radiko
kontenta	satisfeito, satisfeita, contente	12,radiko
ofte	frequentemente	12,radiko
utila	útil	12,radiko
prezenti	apresentar, apresentação	12,radiko
ĝeni	incomodar	12,radiko
nokto	noite	12,radiko
arbo	árvore	12,radiko
ĉefo	patrão, chefe	12,radiko
vojo	caminho	12,radiko
ekster	do lado de fora	12,prepozicio
sovaĝa	selvagem	12,radiko
bruo	barulho, fazer barulho	12,radiko
krom	além de	12,prepozicio
tuŝi	tocar	12,radiko
naturo	natureza	12,radiko
ĝenerali	geral	12,radiko
seki	seco, seca	12,radiko
paŝi	passo, dar passos	12,radiko
vivi	viver, vida	12,radiko
dolori	dor, doer	12,radiko
agrabla	agradável	12,radiko
